policy_id,product_type,region,client_age,risk_score,start_date,end_date,duration_months,premium
P000065,Life,Central,35,30.12,2022-09-16,2023-03-15,6,216.57
P000066,Auto,West,48,70.19,2020-04-11,2021-04-06,12,1208.64
P000067,Home,West,57,67.78,2020-08-15,2021-02-11,6,1032.22
P000068,Auto,South,30,63.47,2019-06-13,2020-06-07,12,1130.22
P000069,Health,South,46,39.59,2020-04-21,2020-10-18,6,1287.57
P000070,Auto,Central,18,55.14,2019-07-26,2020-07-20,12,1213.67
P000071,Home,South,67,30.84,2021-02-17,2022-02-12,12,1088.2
P000072,Life,East,24,63.66,2020-07-23,2021-01-19,6,323.31
P000073,Home,North,37,48.89,2021-07-17,2022-01-13,6,736.12
P000074,Auto,Central,65,43.86,2022-07-25,2023-07-20,12,1033.16
P000075,Health,North,41,31.64,2021-01-17,2022-01-12,12,1853.65
P000076,Home,South,27,12.84,2019-11-30,2020-11-24,12,906.59
P000077,Home,West,55,34.42,2021-01-28,2022-01-23,12,1366.94
P000078,Auto,Central,55,66.69,2020-12-28,2021-06-26,6,553.69
P000079,Home,South,35,43.96,2020-03-05,2021-02-28,12,1297.22
P000080,Home,East,37,47.46,2022-10-04,2023-04-02,6,778.96
P000081,Auto,Central,38,59.83,2020-06-30,2021-06-25,12,1134.94
P000082,Auto,Central,41,77.09,2022-12-08,2023-12-03,12,1234.17
P000083,Life,West,18,69.88,2022-10-31,2023-10-26,12,746.84
P000084,Auto,Central,42,35.41,2022-08-20,2023-02-16,6,409.55
P000085,Auto,West,71,20.86,2019-05-27,2020-05-21,12,548.55
P000086,Home,South,31,85.39,2022-06-01,2023-05-27,12,2300.64
P000087,Life,East,36,84.03,2022-07-24,2023-07-19,12,838.09
P000088,Auto,East,27,52.83,2019-12-17,2020-12-11,12,746.13
P000089,Home,Central,54,30.94,2021-12-29,2022-12-24,12,1154.16
P000090,Auto,Central,63,64.45,2020-05-16,2021-05-11,12,1086.38
P000091,Auto,South,62,48.38,2019-12-01,2020-05-29,6,573.08
P000092,Auto,West,26,48.31,2021-08-04,2022-07-30,12,922.36
P000093,Life,East,52,63.42,2021-02-16,2022-02-11,12,646.0
P000094,Auto,West,66,55.02,2020-07-06,2021-07-01,12,1114.09
P000095,Auto,South,52,32.21,2022-08-03,2023-07-29,12,734.57
P000096,Home,East,52,45.13,2022-11-10,2023-11-05,12,1302.25
P000097,Life,East,37,59.92,2022-02-14,2023-02-09,12,735.03
P000098,Auto,North,48,57.65,2020-03-25,2021-03-20,12,978.2
P000099,Home,South,63,53.93,2022-11-03,2023-05-02,6,670.92
P000100,Auto,South,49,64.0,2020-10-26,2021-04-24,6,684.8
P000101,Home,North,26,44.57,2019-04-25,2019-10-22,6,741.76
P000102,Home,West,38,52.68,2020-04-14,2021-04-09,12,1507.33
P000103,Home,North,63,1.0,2019-03-07,2020-03-01,12,617.79
P000104,Auto,South,49,43.26,2020-10-08,2021-10-03,12,965.62
P000105,Auto,West,46,61.46,2021-04-01,2022-03-27,12,1248.24
P000106,Auto,East,36,44.14,2020-07-02,2020-12-29,6,429.7
P000107,Auto,North,62,43.01,2019-05-16,2020-05-10,12,949.66
P000108,Auto,West,69,34.38,2020-03-08,2021-03-03,12,771.39
P000109,Life,West,63,65.05,2022-03-07,2022-09-03,6,361.97
P000110,Health,West,66,58.23,2020-10-06,2021-04-04,6,1395.52
P000111,Health,North,39,62.38,2020-03-11,2020-09-07,6,1434.74
P000112,Life,East,37,24.11,2022-09-04,2023-03-03,6,231.26
P000113,Home,West,42,47.59,2021-10-19,2022-10-14,12,1527.57
P000114,Life,North,45,45.8,2021-03-21,2022-03-16,12,503.99
P000115,Auto,South,66,45.79,2022-08-09,2023-08-04,12,820.56
P000116,Home,North,62,40.76,2021-07-28,2022-07-23,12,1284.37
P000117,Home,North,53,44.81,2019-10-20,2020-10-14,12,1663.79
P000118,Home,North,23,62.74,2020-06-26,2020-12-23,6,791.03
P000119,Life,West,19,21.31,2019-10-13,2020-10-07,12,401.29
P000120,Auto,North,48,76.66,2020-05-20,2021-05-15,12,1249.13
P000121,Auto,South,58,57.26,2022-02-23,2023-02-18,12,1026.89
P000122,Health,West,43,49.37,2022-01-08,2023-01-03,12,2525.32
P000123,Auto,South,73,63.6,2020-06-22,2021-06-17,12,1326.14
P000124,Home,Central,28,28.22,2022-04-12,2022-10-09,6,579.24
P000125,Health,North,26,40.03,2021-05-27,2021-11-23,6,1012.03
P000126,Home,West,35,48.18,2022-04-10,2023-04-05,12,1871.2
P000127,Home,West,34,70.48,2021-03-28,2022-03-23,12,1883.32
P000128,Auto,North,52,49.3,2021-01-11,2022-01-06,12,934.36
P000129,Auto,East,38,56.75,2020-03-25,2020-09-21,6,616.82
P000130,Life,East,21,41.16,2019-10-11,2020-10-05,12,532.49
P000131,Home,South,58,57.3,2021-11-09,2022-11-04,12,1902.69
P000132,Home,North,18,75.16,2021-10-07,2022-04-05,6,891.43
P000133,Auto,North,28,64.93,2019-07-06,2020-01-02,6,673.89
P000134,Auto,Central,20,48.78,2019-04-07,2020-04-01,12,1005.17
P000135,Health,East,48,60.13,2019-08-13,2020-08-07,12,3165.9
P000136,Auto,East,47,58.66,2019-11-10,2020-11-04,12,1313.86
P000137,Home,North,73,57.6,2022-07-09,2023-07-04,12,1451.41
P000138,Auto,South,58,66.68,2019-11-24,2020-11-18,12,1353.27
P000139,Home,North,66,66.57,2022-10-25,2023-10-20,12,1544.9
P000140,Health,South,49,48.09,2021-05-14,2022-05-09,12,2186.9
P000141,Home,East,30,59.63,2022-05-06,2023-05-01,12,1538.9
P000142,Auto,Central,46,44.25,2019-05-11,2019-11-07,6,488.94
P000143,Home,West,53,36.15,2021-02-27,2022-02-22,12,1254.83
P000144,Life,East,55,45.96,2021-02-20,2022-02-15,12,584.76
P000145,Home,South,37,48.86,2022-05-05,2022-11-01,6,750.56
P000146,Life,North,52,25.08,2021-08-16,2022-02-12,6,232.0
P000147,Home,East,31,62.9,2021-12-19,2022-12-14,12,1847.95
P000148,Life,Central,29,8.49,2020-05-29,2021-05-24,12,348.0
P000149,Home,South,28,90.72,2022-02-07,2022-08-06,6,1319.68
P000150,Auto,North,45,72.53,2019-01-24,2019-07-23,6,633.82
P000151,Auto,West,27,46.08,2022-10-25,2023-10-20,12,903.3
P000152,Auto,South,38,50.14,2019-08-23,2020-02-19,6,531.57
P000153,Health,North,58,54.54,2022-10-28,2023-04-26,6,1167.28
P000154,Life,West,29,41.16,2022-01-04,2022-12-30,12,520.78
P000155,Home,North,37,52.89,2020-06-30,2021-06-25,12,1707.13
P000156,Auto,West,46,47.84,2022-08-05,2023-02-01,6,480.99
P000157,Auto,West,48,48.59,2020-11-27,2021-11-22,12,864.31
P000158,Life,West,37,52.72,2019-08-17,2020-08-11,12,549.25
P000159,Home,North,56,30.3,2020-08-24,2021-02-20,6,575.49
P000160,Auto,West,53,50.59,2021-06-09,2022-06-04,12,1122.08
P000161,Home,South,62,52.45,2019-11-20,2020-11-14,12,1718.36
P000162,Auto,Central,43,51.93,2021-07-18,2022-07-13,12,1034.5
P000163,Auto,Central,37,46.76,2019-01-07,2020-01-02,12,1154.2
P000164,Home,West,34,67.07,2020-06-23,2021-06-18,12,1788.32
P000165,Auto,Central,49,44.7,2021-10-22,2022-04-20,6,461.71
P000166,Health,Central,39,53.41,2020-01-01,2020-12-26,12,1934.18
P000167,Auto,West,36,69.46,2021-11-05,2022-10-31,12,1178.34
P000168,Auto,West,38,48.81,2019-08-06,2020-02-02,6,534.85
P000169,Auto,South,34,53.22,2022-07-04,2022-12-31,6,600.54
P000170,Life,East,47,48.55,2020-09-03,2021-08-29,12,563.14
P000171,Home,North,23,68.56,2022-08-01,2023-07-27,12,1918.86
P000172,Home,West,49,46.13,2021-11-05,2022-05-04,6,790.04
P000173,Auto,West,55,69.25,2022-06-01,2023-05-27,12,1232.38
P000174,Auto,Central,36,48.45,2020-02-12,2020-08-10,6,378.66
P000175,Home,South,73,37.11,2019-11-10,2020-11-04,12,1299.34
P000176,Life,Central,45,60.19,2021-02-04,2021-08-03,6,377.42
P000177,Life,West,21,45.43,2019-11-27,2020-11-21,12,534.76
P000178,Auto,West,40,59.31,2022-01-09,2023-01-04,12,1083.47
P000179,Home,Central,45,9.06,2021-12-22,2022-12-17,12,674.91
P000180,Health,West,51,50.08,2019-01-02,2019-07-01,6,929.62
P000181,Auto,East,41,43.11,2022-05-11,2023-05-06,12,1011.53
P000182,Life,North,29,34.05,2020-10-25,2021-04-23,6,252.59
P000183,Auto,North,28,41.7,2021-09-27,2022-09-22,12,1044.25
P000184,Health,North,35,41.39,2019-02-09,2020-02-04,12,2433.89
P000185,Life,East,36,49.28,2019-08-18,2020-02-14,6,298.83
P000186,Health,West,27,29.49,2021-01-13,2022-01-08,12,1869.02
P000187,Home,Central,34,54.74,2020-09-21,2021-09-16,12,1675.08
P000188,Auto,South,54,70.49,2020-05-05,2021-04-30,12,1366.34
P000189,Health,West,69,54.21,2019-04-29,2020-04-23,12,2711.04
P000190,Auto,East,56,62.13,2020-05-08,2020-11-04,6,636.11
P000191,Auto,East,64,66.42,2022-03-07,2022-09-03,6,580.76
P000192,Life,North,59,68.55,2019-06-11,2020-06-05,12,687.93
P000193,Life,West,57,78.05,2019-06-25,2020-06-19,12,829.96
P000194,Health,North,39,42.51,2021-09-22,2022-09-17,12,2321.99
P000195,Auto,South,47,39.22,2019-05-22,2020-05-16,12,766.03
P000196,Life,North,38,61.75,2021-12-26,2022-12-21,12,617.8
P000197,Life,South,41,60.62,2019-09-15,2020-09-09,12,736.18
P000198,Auto,East,46,61.64,2019-09-20,2020-09-14,12,1093.37
P000199,Auto,North,55,78.34,2022-09-13,2023-09-08,12,1317.86
P000200,Auto,North,51,50.17,2021-08-31,2022-08-26,12,966.0
P000201,Auto,Central,42,56.39,2022-01-30,2023-01-25,12,1240.4
P000202,Health,East,45,35.29,2019-12-05,2020-06-02,6,1159.23
P000203,Home,Central,51,82.03,2020-06-26,2020-12-23,6,909.8
P000204,Life,South,55,44.95,2021-12-16,2022-12-11,12,555.84
P000205,Health,South,22,45.38,2022-05-27,2023-05-22,12,2562.12
P000206,Auto,East,28,44.8,2021-05-16,2021-11-12,6,497.02
P000207,Life,South,61,40.33,2020-03-09,2020-09-05,6,275.09
P000208,Home,East,44,39.06,2022-01-09,2023-01-04,12,1154.84
P000209,Life,South,38,42.14,2022-11-13,2023-05-12,6,263.71
P000210,Auto,West,41,29.51,2020-02-16,2020-08-14,6,357.57
P000211,Health,North,41,38.22,2022-12-31,2023-12-26,12,2206.06
P000212,Auto,West,53,79.23,2020-09-30,2021-09-25,12,1580.89
P000213,Auto,East,28,61.03,2021-03-28,2022-03-23,12,1054.58
P000214,Life,East,45,63.89,2022-10-07,2023-04-05,6,327.18
P000215,Auto,West,48,67.66,2022-08-23,2023-08-18,12,1198.76
P000216,Home,North,50,77.51,2021-02-03,2021-08-02,6,1100.52
P000217,Home,North,48,23.43,2021-06-16,2022-06-11,12,873.91
P000218,Life,Central,52,31.55,2021-11-25,2022-11-20,12,557.36
P000219,Auto,South,36,37.94,2021-07-13,2022-07-08,12,840.57
P000220,Auto,Central,30,42.95,2019-09-05,2020-08-30,12,848.18
P000221,Auto,North,81,45.49,2020-05-22,2021-05-17,12,794.52
P000222,Home,West,40,43.3,2020-04-05,2021-03-31,12,1476.86
P000223,Auto,South,42,53.29,2019-05-12,2019-11-08,6,510.84
P000224,Auto,West,55,50.53,2020-11-23,2021-11-18,12,1023.54
P000225,Auto,Central,68,39.16,2019-02-13,2019-08-12,6,395.78
P000226,Auto,East,36,17.37,2022-04-19,2022-10-16,6,294.51
P000227,Home,West,30,35.11,2022-02-08,2023-02-03,12,1172.03
P000228,Life,Central,26,41.76,2020-04-16,2021-04-11,12,557.53
P000229,Auto,Central,68,46.29,2022-04-20,2023-04-15,12,891.51
P000230,Home,Central,29,33.05,2020-03-27,2021-03-22,12,1011.58
P000231,Home,East,44,42.64,2019-01-15,2020-01-10,12,1740.65
P000232,Home,East,30,33.04,2019-05-26,2020-05-20,12,1031.83
P000233,Life,East,23,48.11,2022-12-20,2023-12-15,12,621.91
P000234,Home,South,40,33.9,2022-07-16,2023-07-11,12,995.75
P000235,Home,East,30,37.27,2019-05-01,2019-10-28,6,508.53
P000236,Auto,East,34,30.37,2020-04-13,2021-04-08,12,771.92
P000237,Home,East,75,47.7,2019-05-19,2019-11-15,6,742.02
P000238,Home,West,51,37.0,2019-03-06,2019-09-02,6,712.85
P000239,Auto,East,58,63.6,2020-11-07,2021-11-02,12,1209.68
P000240,Auto,South,57,56.09,2019-05-26,2019-11-22,6,528.5
P000241,Health,Central,43,48.95,2021-11-18,2022-11-13,12,2234.09
P000242,Home,West,38,38.04,2020-05-02,2021-04-27,12,1477.3
P000243,Home,North,48,55.71,2020-07-24,2021-07-19,12,1751.65
P000244,Health,East,47,60.36,2022-10-02,2023-09-27,12,2460.48
P000245,Life,Central,36,52.14,2021-09-21,2022-03-20,6,321.74
P000246,Home,Central,46,74.06,2020-03-14,2021-03-09,12,1960.93
P000247,Life,West,34,56.89,2022-01-09,2023-01-04,12,653.29
P000248,Life,North,42,63.7,2019-09-28,2020-09-22,12,783.92
P000249,Home,South,39,52.0,2022-03-15,2023-03-10,12,1663.75
P000250,Home,Central,25,60.13,2022-03-26,2023-03-21,12,1650.29
P000251,Auto,Central,18,38.05,2021-08-26,2022-02-22,6,416.27
P000252,Health,Central,30,43.12,2020-05-12,2021-05-07,12,2637.4
P000253,Home,Central,72,55.24,2021-08-26,2022-08-21,12,1743.04
P000254,Auto,West,40,55.13,2021-04-13,2022-04-08,12,1069.24
P000255,Life,North,56,57.61,2020-01-25,2020-07-23,6,285.48
P000256,Home,Central,18,66.51,2019-07-13,2020-07-07,12,1859.0
P000257,Auto,South,29,28.63,2019-07-18,2020-07-12,12,795.47
P000258,Home,South,24,35.38,2022-09-11,2023-09-06,12,896.15
P000259,Home,East,41,53.44,2021-06-01,2022-05-27,12,1601.26
P000260,Life,Central,81,39.13,2020-12-26,2021-06-24,6,260.41
P000261,Auto,Central,51,100.0,2021-05-17,2022-05-12,12,1564.66
P000262,Life,Central,70,57.74,2021-04-21,2022-04-16,12,621.07
P000263,Home,Central,41,48.83,2021-08-14,2022-02-10,6,728.51
P000264,Auto,Central,65,42.27,2019-04-21,2020-04-15,12,1033.53
P000265,Health,South,76,42.8,2022-10-11,2023-10-06,12,2182.04
P000266,Home,North,43,50.45,2022-08-31,2023-08-26,12,1653.72
P000267,Auto,North,36,51.68,2022-08-16,2023-08-11,12,937.9
P000268,Home,East,25,43.15,2019-07-21,2020-07-15,12,1481.16
P000269,Life,South,40,45.9,2019-05-05,2020-04-29,12,594.35
P000270,Auto,Central,46,70.16,2021-04-04,2021-10-01,6,642.82
P000271,Auto,North,75,70.77,2020-11-25,2021-11-20,12,1250.13
P000272,Auto,West,25,53.78,2019-08-12,2020-08-06,12,1112.43
P000273,Auto,West,45,29.88,2020-05-24,2021-05-19,12,563.79
P000274,Life,West,18,58.08,2020-01-28,2021-01-22,12,588.26
P000275,Home,Central,38,73.31,2020-01-25,2021-01-19,12,1999.64
P000276,Auto,Central,49,70.55,2022-01-03,2022-12-29,12,991.85
P000277,Auto,East,52,61.02,2021-07-07,2022-07-02,12,1072.17
P000278,Auto,East,53,71.34,2019-10-15,2020-10-09,12,1249.25
P000279,Health,East,50,50.8,2021-05-14,2022-05-09,12,2314.98
P000280,Auto,West,53,59.42,2020-01-11,2021-01-05,12,1036.07
P000281,Health,Central,45,39.79,2020-07-24,2021-07-19,12,2253.28
P000282,Home,West,29,54.38,2021-08-05,2022-07-31,12,1738.19
P000283,Auto,East,18,69.94,2020-05-26,2021-05-21,12,1120.5
P000284,Life,Central,36,41.16,2019-06-04,2019-12-01,6,263.29
P000285,Home,South,42,37.08,2021-06-26,2022-06-21,12,1174.76
P000286,Life,North,63,51.46,2022-02-01,2022-07-31,6,240.98
P000287,Health,North,43,46.6,2019-07-20,2020-07-14,12,2431.98
P000288,Auto,East,42,59.74,2019-04-14,2020-04-08,12,1221.28
P000289,Auto,West,50,43.2,2022-08-28,2023-02-24,6,505.88
P000290,Life,South,40,75.78,2022-01-12,2023-01-07,12,747.09
P000291,Auto,Central,57,30.65,2019-01-31,2019-07-30,6,335.85
P000292,Auto,West,74,68.81,2019-07-11,2020-01-07,6,614.18
P000293,Auto,East,77,38.53,2020-04-29,2021-04-24,12,933.87
P000294,Auto,West,46,23.06,2019-12-07,2020-12-01,12,687.2
P000295,Life,East,50,53.57,2021-04-12,2021-10-09,6,335.32
P000296,Auto,North,68,46.18,2021-09-21,2022-09-16,12,1063.11
P000297,Home,North,42,33.36,2021-09-12,2022-09-07,12,1111.75
P000298,Home,West,55,24.78,2020-03-13,2020-09-09,6,511.52
P000299,Home,South,27,49.87,2021-04-01,2022-03-27,12,1742.47
P000300,Auto,Central,40,64.64,2019-05-01,2019-10-28,6,576.27
P000301,Life,East,62,58.77,2019-12-04,2020-06-01,6,301.62
P000302,Auto,Central,34,50.85,2021-02-15,2022-02-10,12,942.58
P000303,Life,North,43,57.18,2019-01-05,2019-12-31,12,615.16
P000304,Life,South,21,49.59,2021-03-10,2022-03-05,12,644.14
P000305,Home,South,75,28.55,2020-06-27,2021-06-22,12,1014.1
P000306,Home,Central,63,28.69,2021-07-20,2022-07-15,12,1146.68
P000307,Home,North,47,46.95,2020-08-07,2021-08-02,12,1338.73
P000308,Auto,Central,52,47.59,2021-05-16,2022-05-11,12,764.88
P000309,Life,West,50,62.76,2022-11-27,2023-11-22,12,742.8
P000310,Life,South,65,61.36,2022-02-12,2022-08-11,6,360.37
P000311,Auto,South,37,59.08,2022-09-17,2023-09-12,12,1166.38
P000312,Home,West,55,45.8,2021-09-23,2022-03-22,6,664.27
P000313,Health,North,61,29.29,2019-11-14,2020-05-12,6,866.12
P000314,Health,South,63,56.18,2020-01-24,2021-01-18,12,2793.21
P000315,Home,East,18,57.88,2020-08-30,2021-08-25,12,1891.24
P000316,Home,East,36,14.17,2020-03-21,2021-03-16,12,856.01
P000317,Auto,North,29,37.48,2019-04-30,2020-04-24,12,885.84
P000318,Health,West,47,39.63,2022-04-01,2022-09-28,6,1059.25
P000319,Auto,Central,18,51.78,2022-01-15,2022-07-14,6,431.85
P000320,Home,North,18,37.95,2019-05-05,2019-11-01,6,703.62
P000321,Auto,Central,77,49.43,2020-10-04,2021-09-29,12,1083.38
P000322,Auto,North,54,46.84,2019-04-28,2020-04-22,12,1030.46
P000323,Home,East,46,47.61,2019-04-13,2020-04-07,12,1430.47
P000324,Health,West,50,39.25,2022-04-11,2022-10-08,6,1153.75
P000325,Auto,East,47,40.42,2021-09-03,2022-08-29,12,964.14
P000326,Home,West,59,33.8,2021-10-26,2022-10-21,12,1404.18
P000327,Auto,Central,35,55.7,2021-12-23,2022-12-18,12,1174.01
P000328,Auto,North,47,58.57,2019-11-19,2020-11-13,12,1109.88
P000329,Home,South,48,38.44,2019-04-27,2020-04-21,12,1122.9
P000330,Home,South,29,72.81,2021-11-06,2022-05-05,6,970.16
P000331,Auto,West,64,45.28,2019-06-14,2020-06-08,12,967.56
P000332,Auto,West,38,72.95,2020-01-16,2021-01-10,12,1365.83
P000333,Auto,East,60,40.37,2019-05-21,2019-11-17,6,502.09
P000334,Auto,South,46,19.6,2022-05-03,2022-10-30,6,314.58
P000335,Health,East,69,56.03,2019-05-20,2019-11-16,6,1622.08
P000336,Health,Central,29,53.73,2022-10-14,2023-04-12,6,1076.2
P000337,Auto,South,28,50.52,2020-04-26,2021-04-21,12,1048.44
P000338,Home,Central,31,40.37,2021-04-06,2022-04-01,12,1220.72
P000339,Health,North,46,49.48,2019-09-03,2020-08-28,12,2010.57
P000340,Auto,East,68,42.33,2022-03-12,2022-09-08,6,444.82
P000341,Life,West,68,45.46,2020-05-19,2021-05-14,12,504.84
P000342,Health,South,18,62.62,2022-03-31,2023-03-26,12,2832.13
P000343,Auto,East,48,52.76,2022-05-02,2022-10-29,6,518.36
P000344,Auto,West,18,59.15,2019-03-23,2020-03-17,12,1233.94
P000345,Health,North,56,46.52,2022-06-22,2023-06-17,12,2034.44
P000346,Home,South,61,44.87,2019-06-17,2020-06-11,12,1535.54
P000347,Auto,Central,44,32.7,2021-05-08,2022-05-03,12,800.17
P000348,Auto,North,46,44.45,2022-09-08,2023-03-07,6,514.72
P000349,Home,West,46,1.0,2022-04-10,2023-04-05,12,591.32
P000350,Home,South,33,41.15,2022-03-03,2023-02-26,12,1162.09
P000351,Life,South,51,48.77,2021-12-06,2022-12-01,12,540.8
P000352,Health,North,41,58.46,2020-10-09,2021-10-04,12,2398.06
P000353,Auto,South,58,45.97,2020-06-18,2021-06-13,12,997.11
P000354,Home,West,43,55.22,2020-02-23,2020-08-21,6,914.69
P000355,Home,North,32,17.3,2022-10-03,2023-04-01,6,429.96
P000356,Home,Central,21,49.15,2020-10-05,2021-09-30,12,1578.11
P000357,Auto,North,18,24.81,2020-05-03,2020-10-30,6,295.71
P000358,Health,North,64,31.88,2020-06-27,2021-06-22,12,1991.68
P000359,Life,Central,38,47.19,2021-03-21,2022-03-16,12,644.3
P000360,Home,West,50,69.14,2019-09-26,2020-09-20,12,1577.41
P000361,Home,East,71,55.57,2022-10-07,2023-10-02,12,1567.63
P000362,Auto,East,36,50.27,2022-08-14,2023-08-09,12,1075.06
P000363,Home,Central,35,49.71,2020-09-06,2021-09-01,12,1056.25
P000364,Home,West,43,39.3,2021-07-25,2022-07-20,12,1482.0
P000365,Home,South,45,41.84,2020-10-09,2021-10-04,12,1400.98
P000366,Health,Central,73,56.41,2019-05-29,2020-05-23,12,2885.26
P000367,Home,East,68,29.22,2019-01-20,2020-01-15,12,1079.49
P000368,Auto,West,54,58.9,2021-07-27,2022-07-22,12,916.13
P000369,Life,North,66,44.17,2022-06-26,2022-12-23,6,306.16
P000370,Auto,West,42,62.38,2022-02-27,2022-08-26,6,569.54
P000371,Auto,West,49,64.42,2019-07-24,2020-01-20,6,588.4
P000372,Auto,East,40,24.9,2019-05-31,2019-11-27,6,387.4
P000373,Home,East,25,41.28,2022-01-06,2022-07-05,6,722.69
P000374,Life,South,63,37.17,2020-03-12,2021-03-07,12,630.37
P000375,Home,South,52,22.81,2021-11-02,2022-05-01,6,513.06
P000376,Life,Central,45,34.51,2020-06-27,2021-06-22,12,473.65
P000377,Home,North,44,86.62,2019-09-29,2020-09-23,12,2118.48
P000378,Auto,South,22,59.14,2020-12-15,2021-06-13,6,577.9
P000379,Life,East,30,78.76,2019-05-21,2020-05-15,12,926.1
P000380,Auto,West,50,62.44,2020-05-15,2020-11-11,6,490.34
P000381,Auto,Central,37,38.87,2021-01-26,2021-07-25,6,433.59
P000382,Home,South,41,44.27,2020-08-06,2021-08-01,12,1621.69
P000383,Auto,West,43,58.83,2019-11-20,2020-11-14,12,1079.39
P000384,Auto,West,34,56.56,2021-06-16,2022-06-11,12,1179.15
P000385,Home,South,30,41.34,2022-01-17,2023-01-12,12,1410.4
P000386,Home,North,20,27.35,2022-12-11,2023-12-06,12,1196.71
