policy_id,payment_date,scheduled_amount,actual_amount,status,payment_schedule
P000008,2020-02-24,58.4,58.4,Paid,Monthly
P000008,2020-03-25,58.4,58.4,Paid,Monthly
P000008,2020-04-24,58.4,58.4,Paid,Monthly
P000008,2020-05-24,58.4,58.4,Paid,Monthly
P000008,2020-06-23,58.4,58.4,Paid,Monthly
P000009,2022-10-17,87.63,87.63,Paid,Monthly
P000009,2022-11-16,87.63,87.63,Paid,Monthly
P000009,2022-12-16,87.63,87.63,Paid,Monthly
P000009,2023-01-15,87.63,87.63,Paid,Monthly
P000009,2023-02-14,87.63,87.63,Paid,Monthly
P000009,2023-03-16,87.63,87.63,Paid,Monthly
P000009,2023-04-15,87.63,87.63,Paid,Monthly
P000009,2023-05-15,87.63,87.63,Paid,Monthly
P000009,2023-06-14,87.63,87.63,Paid,Monthly
P000009,2023-07-14,87.63,87.63,Paid,Monthly
P000009,2023-08-13,87.63,87.63,Paid,Monthly
P000009,2023-09-12,87.63,87.63,Paid,Monthly
P000010,2022-01-21,127.03,127.03,Paid,Monthly
P000010,2022-02-20,127.03,127.03,Paid,Monthly
P000010,2022-03-22,127.03,127.03,Paid,Monthly
P000010,2022-04-21,127.03,127.03,Paid,Monthly
P000010,2022-05-21,127.03,127.03,Paid,Monthly
P000010,2022-06-20,127.03,127.03,Paid,Monthly
P000010,2022-07-20,127.03,127.03,Paid,Monthly
P000010,2022-08-19,127.03,0.0,Missed,Monthly
P000010,2022-09-18,127.03,127.03,Paid,Monthly
P000010,2022-10-18,127.03,127.03,Paid,Monthly
P000010,2022-11-17,127.03,127.03,Paid,Monthly
P000010,2022-12-17,127.03,127.03,Paid,Monthly
P000011,2019-06-28,97.45,97.45,Paid,Quarterly
P000011,2019-09-26,97.45,97.45,Paid,Quarterly
P000012,2022-04-24,55.0,55.0,Paid,Monthly
P000012,2022-05-24,55.0,55.0,Paid,Monthly
P000012,2022-06-23,55.0,55.0,Paid,Monthly
P000012,2022-07-23,55.0,55.0,Paid,Monthly
P000012,2022-08-22,55.0,57.75,Late,Monthly
P000012,2022-09-21,55.0,55.0,Paid,Monthly
P000012,2022-10-21,55.0,55.0,Paid,Monthly
P000012,2022-11-20,55.0,55.0,Paid,Monthly
P000012,2022-12-20,55.0,55.0,Paid,Monthly
P000012,2023-01-19,55.0,55.0,Paid,Monthly
P000012,2023-02-18,55.0,55.0,Paid,Monthly
P000012,2023-03-20,55.0,57.75,Late,Monthly
P000013,2021-05-14,414.05,414.05,Paid,Quarterly
P000013,2021-08-12,414.05,414.05,Paid,Quarterly
P000013,2021-11-10,414.05,414.05,Paid,Quarterly
P000013,2022-02-08,414.05,414.05,Paid,Quarterly
P000014,2019-03-07,142.88,142.88,Paid,Monthly
P000014,2019-04-06,142.88,142.88,Paid,Monthly
P000014,2019-05-06,142.88,142.88,Paid,Monthly
P000014,2019-06-05,142.88,142.88,Paid,Monthly
P000014,2019-07-05,142.88,142.88,Paid,Monthly
P000014,2019-08-04,142.88,142.88,Paid,Monthly
P000017,2020-03-23,479.04,479.04,Paid,Semi-Annual
P000018,2020-04-21,84.17,84.17,Paid,Monthly
P000018,2020-05-21,84.17,84.17,Paid,Monthly
P000018,2020-06-20,84.17,84.17,Paid,Monthly
P000018,2020-07-20,84.17,84.17,Paid,Monthly
P000018,2020-08-19,84.17,88.38,Late,Monthly
P000018,2020-09-18,84.17,88.38,Late,Monthly
P000018,2020-10-18,84.17,84.17,Paid,Monthly
P000018,2020-11-17,84.17,84.17,Paid,Monthly
P000018,2020-12-17,84.17,84.17,Paid,Monthly
P000018,2021-01-16,84.17,84.17,Paid,Monthly
P000018,2021-02-15,84.17,84.17,Paid,Monthly
P000018,2021-03-17,84.17,84.17,Paid,Monthly
P000019,2021-10-31,95.88,95.88,Paid,Monthly
P000019,2021-11-30,95.88,95.88,Paid,Monthly
P000019,2021-12-30,95.88,95.88,Paid,Monthly
P000019,2022-01-29,95.88,95.88,Paid,Monthly
P000019,2022-02-28,95.88,95.88,Paid,Monthly
P000019,2022-03-30,95.88,95.88,Paid,Monthly
P000019,2022-04-29,95.88,95.88,Paid,Monthly
P000019,2022-05-29,95.88,95.88,Paid,Monthly
P000019,2022-06-28,95.88,95.88,Paid,Monthly
P000019,2022-07-28,95.88,95.88,Paid,Monthly
P000019,2022-08-27,95.88,100.67,Late,Monthly
P000019,2022-09-26,95.88,95.88,Paid,Monthly
P000020,2022-05-17,67.16,67.16,Paid,Monthly
P000020,2022-06-16,67.16,67.16,Paid,Monthly
P000020,2022-07-16,67.16,67.16,Paid,Monthly
P000020,2022-08-15,67.16,67.16,Paid,Monthly
P000020,2022-09-14,67.16,67.16,Paid,Monthly
P000020,2022-10-14,67.16,67.16,Paid,Monthly
P000021,2019-02-24,120.53,120.53,Paid,Monthly
P000021,2019-03-26,120.53,120.53,Paid,Monthly
P000021,2019-04-25,120.53,120.53,Paid,Monthly
P000021,2019-05-25,120.53,120.53,Paid,Monthly
P000021,2019-06-24,120.53,120.53,Paid,Monthly
P000021,2019-07-24,120.53,120.53,Paid,Monthly
P000021,2019-08-23,120.53,120.53,Paid,Monthly
P000021,2019-09-22,120.53,120.53,Paid,Monthly
P000021,2019-10-22,120.53,120.53,Paid,Monthly
P000021,2019-11-21,120.53,120.53,Paid,Monthly
P000021,2019-12-21,120.53,120.53,Paid,Monthly
P000021,2020-01-20,120.53,120.53,Paid,Monthly
P000022,2022-02-23,380.69,380.69,Paid,Quarterly
P000022,2022-05-24,380.69,380.69,Paid,Quarterly
P000023,2020-02-12,215.06,215.06,Paid,Monthly
P000023,2020-03-13,215.06,215.06,Paid,Monthly
P000023,2020-04-12,215.06,215.06,Paid,Monthly
P000023,2020-05-12,215.06,215.06,Paid,Monthly
P000023,2020-06-11,215.06,215.06,Paid,Monthly
P000023,2020-07-11,215.06,215.06,Paid,Monthly
P000024,2022-08-23,274.88,274.88,Paid,Semi-Annual
P000025,2022-12-07,193.92,193.92,Paid,Monthly
P000025,2023-01-06,193.92,193.92,Paid,Monthly
P000025,2023-02-05,193.92,193.92,Paid,Monthly
P000025,2023-03-07,193.92,193.92,Paid,Monthly
P000025,2023-04-06,193.92,193.92,Paid,Monthly
P000025,2023-05-06,193.92,193.92,Paid,Monthly
P000025,2023-06-05,193.92,193.92,Paid,Monthly
P000025,2023-07-05,193.92,193.92,Paid,Monthly
P000025,2023-08-04,193.92,193.92,Paid,Monthly
P000025,2023-09-03,193.92,193.92,Paid,Monthly
P000025,2023-10-03,193.92,193.92,Paid,Monthly
P000025,2023-11-02,193.92,193.92,Paid,Monthly
P000026,2022-01-21,125.29,125.29,Paid,Monthly
P000026,2022-02-20,125.29,125.29,Paid,Monthly
P000026,2022-03-22,125.29,125.29,Paid,Monthly
P000026,2022-04-21,125.29,125.29,Paid,Monthly
P000026,2022-05-21,125.29,125.29,Paid,Monthly
P000026,2022-06-20,125.29,0.0,Missed,Monthly
P000026,2022-07-20,125.29,125.29,Paid,Monthly
P000026,2022-08-19,125.29,125.29,Paid,Monthly
P000026,2022-09-18,125.29,125.29,Paid,Monthly
P000026,2022-10-18,125.29,125.29,Paid,Monthly
P000026,2022-11-17,125.29,125.29,Paid,Monthly
P000026,2022-12-17,125.29,125.29,Paid,Monthly
P000027,2021-05-09,311.93,311.93,Paid,Quarterly
P000027,2021-08-07,311.93,311.93,Paid,Quarterly
P000028,2020-03-27,67.48,67.48,Paid,Monthly
P000028,2020-04-26,67.48,67.48,Paid,Monthly
P000028,2020-05-26,67.48,67.48,Paid,Monthly
P000028,2020-06-25,67.48,67.48,Paid,Monthly
P000028,2020-07-25,67.48,67.48,Paid,Monthly
P000028,2020-08-24,67.48,67.48,Paid,Monthly
P000028,2020-09-23,67.48,67.48,Paid,Monthly
P000028,2020-10-23,67.48,67.48,Paid,Monthly
P000028,2020-11-22,67.48,67.48,Paid,Monthly
P000028,2020-12-22,67.48,67.48,Paid,Monthly
P000028,2021-01-21,67.48,67.48,Paid,Monthly
P000028,2021-02-20,67.48,67.48,Paid,Monthly
P000029,2021-07-08,57.35,57.35,Paid,Monthly
P000029,2021-08-07,57.35,57.35,Paid,Monthly
P000029,2021-09-06,57.35,57.35,Paid,Monthly
P000029,2021-10-06,57.35,57.35,Paid,Monthly
P000029,2021-11-05,57.35,57.35,Paid,Monthly
P000029,2021-12-05,57.35,57.35,Paid,Monthly
P000029,2022-01-04,57.35,57.35,Paid,Monthly
P000029,2022-02-03,57.35,57.35,Paid,Monthly
P000029,2022-03-05,57.35,57.35,Paid,Monthly
P000029,2022-04-04,57.35,57.35,Paid,Monthly
P000029,2022-05-04,57.35,57.35,Paid,Monthly
P000029,2022-06-03,57.35,57.35,Paid,Monthly
P000031,2020-07-23,227.08,227.08,Paid,Quarterly
P000031,2020-10-21,227.08,227.08,Paid,Quarterly
P000031,2021-01-19,227.08,227.08,Paid,Quarterly
P000031,2021-04-19,227.08,227.08,Paid,Quarterly
P000032,2019-01-14,95.05,95.05,Paid,Monthly
P000032,2019-02-13,95.05,95.05,Paid,Monthly
P000032,2019-03-15,95.05,95.05,Paid,Monthly
P000032,2019-04-14,95.05,95.05,Paid,Monthly
P000032,2019-05-14,95.05,95.05,Paid,Monthly
P000032,2019-06-13,95.05,95.05,Paid,Monthly
P000034,2022-11-30,158.43,158.43,Paid,Monthly
P000034,2022-12-30,158.43,158.43,Paid,Monthly
P000034,2023-01-29,158.43,0.0,Missed,Monthly
P000034,2023-02-28,158.43,158.43,Paid,Monthly
P000034,2023-03-30,158.43,158.43,Paid,Monthly
P000034,2023-04-29,158.43,158.43,Paid,Monthly
P000034,2023-05-29,158.43,158.43,Paid,Monthly
P000034,2023-06-28,158.43,158.43,Paid,Monthly
P000034,2023-07-28,158.43,158.43,Paid,Monthly
P000034,2023-08-27,158.43,158.43,Paid,Monthly
P000034,2023-09-26,158.43,158.43,Paid,Monthly
P000034,2023-10-26,158.43,158.43,Paid,Monthly
P000035,2021-05-15,93.92,93.92,Paid,Monthly
P000035,2021-06-14,93.92,93.92,Paid,Monthly
P000035,2021-07-14,93.92,93.92,Paid,Monthly
P000035,2021-08-13,93.92,98.62,Late,Monthly
P000035,2021-09-12,93.92,93.92,Paid,Monthly
P000035,2021-10-12,93.92,93.92,Paid,Monthly
P000035,2021-11-11,93.92,93.92,Paid,Monthly
P000035,2021-12-11,93.92,93.92,Paid,Monthly
P000035,2022-01-10,93.92,93.92,Paid,Monthly
P000035,2022-02-09,93.92,93.92,Paid,Monthly
P000035,2022-03-11,93.92,93.92,Paid,Monthly
P000035,2022-04-10,93.92,93.92,Paid,Monthly
P000036,2020-11-27,76.74,76.74,Paid,Monthly
P000036,2020-12-27,76.74,76.74,Paid,Monthly
P000036,2021-01-26,76.74,76.74,Paid,Monthly
P000036,2021-02-25,76.74,76.74,Paid,Monthly
P000036,2021-03-27,76.74,76.74,Paid,Monthly
P000036,2021-04-26,76.74,76.74,Paid,Monthly
P000036,2021-05-26,76.74,76.74,Paid,Monthly
P000036,2021-06-25,76.74,76.74,Paid,Monthly
P000036,2021-07-25,76.74,76.74,Paid,Monthly
P000036,2021-08-24,76.74,76.74,Paid,Monthly
P000036,2021-09-23,76.74,76.74,Paid,Monthly
P000036,2021-10-23,76.74,76.74,Paid,Monthly
P000037,2020-07-23,141.14,141.14,Paid,Monthly
P000037,2020-08-22,141.14,141.14,Paid,Monthly
P000037,2020-09-21,141.14,141.14,Paid,Monthly
P000037,2020-10-21,141.14,141.14,Paid,Monthly
P000037,2020-11-20,141.14,141.14,Paid,Monthly
P000037,2020-12-20,141.14,141.14,Paid,Monthly
P000037,2021-01-19,141.14,141.14,Paid,Monthly
P000037,2021-02-18,141.14,141.14,Paid,Monthly
P000037,2021-03-20,141.14,141.14,Paid,Monthly
P000037,2021-04-19,141.14,141.14,Paid,Monthly
P000037,2021-05-19,141.14,141.14,Paid,Monthly
P000037,2021-06-18,141.14,141.14,Paid,Monthly
P000038,2019-11-15,261.37,261.37,Paid,Monthly
P000038,2019-12-15,261.37,261.37,Paid,Monthly
P000038,2020-01-14,261.37,261.37,Paid,Monthly
P000038,2020-02-13,261.37,261.37,Paid,Monthly
P000038,2020-03-14,261.37,261.37,Paid,Monthly
P000038,2020-04-13,261.37,0.0,Missed,Monthly
P000039,2020-03-16,60.98,60.98,Paid,Monthly
P000039,2020-04-15,60.98,60.98,Paid,Monthly
P000039,2020-05-15,60.98,60.98,Paid,Monthly
P000039,2020-06-14,60.98,60.98,Paid,Monthly
P000039,2020-07-14,60.98,60.98,Paid,Monthly
P000039,2020-08-13,60.98,60.98,Paid,Monthly
P000039,2020-09-12,60.98,60.98,Paid,Monthly
P000039,2020-10-12,60.98,60.98,Paid,Monthly
P000039,2020-11-11,60.98,60.98,Paid,Monthly
P000039,2020-12-11,60.98,60.98,Paid,Monthly
P000039,2021-01-10,60.98,60.98,Paid,Monthly
P000039,2021-02-09,60.98,60.98,Paid,Monthly
P000041,2019-07-29,175.54,175.54,Paid,Quarterly
P000041,2019-10-27,175.54,175.54,Paid,Quarterly
P000042,2019-07-09,809.47,809.47,Paid,Semi-Annual
P000043,2021-02-17,98.03,98.03,Paid,Monthly
P000043,2021-03-19,98.03,98.03,Paid,Monthly
P000043,2021-04-18,98.03,98.03,Paid,Monthly
P000043,2021-05-18,98.03,98.03,Paid,Monthly
P000043,2021-06-17,98.03,98.03,Paid,Monthly
P000043,2021-07-17,98.03,98.03,Paid,Monthly
P000044,2019-07-18,665.61,665.61,Paid,Semi-Annual
P000045,2021-01-05,149.25,149.25,Paid,Monthly
P000045,2021-02-04,149.25,149.25,Paid,Monthly
P000045,2021-03-06,149.25,149.25,Paid,Monthly
P000045,2021-04-05,149.25,149.25,Paid,Monthly
P000045,2021-05-05,149.25,149.25,Paid,Monthly
P000045,2021-06-04,149.25,149.25,Paid,Monthly
P000046,2020-12-05,117.79,117.79,Paid,Monthly
P000046,2021-01-04,117.79,117.79,Paid,Monthly
P000046,2021-02-03,117.79,117.79,Paid,Monthly
P000046,2021-03-05,117.79,117.79,Paid,Monthly
P000046,2021-04-04,117.79,117.79,Paid,Monthly
P000046,2021-05-04,117.79,117.79,Paid,Monthly
P000046,2021-06-03,117.79,117.79,Paid,Monthly
P000046,2021-07-03,117.79,117.79,Paid,Monthly
P000046,2021-08-02,117.79,117.79,Paid,Monthly
P000046,2021-09-01,117.79,117.79,Paid,Monthly
P000046,2021-10-01,117.79,117.79,Paid,Monthly
P000046,2021-10-31,117.79,117.79,Paid,Monthly
P000047,2022-05-21,966.75,966.75,Paid,Semi-Annual
P000048,2020-06-25,145.48,145.48,Paid,Monthly
P000048,2020-07-25,145.48,145.48,Paid,Monthly
P000048,2020-08-24,145.48,145.48,Paid,Monthly
P000048,2020-09-23,145.48,145.48,Paid,Monthly
P000048,2020-10-23,145.48,145.48,Paid,Monthly
P000048,2020-11-22,145.48,145.48,Paid,Monthly
P000048,2020-12-22,145.48,145.48,Paid,Monthly
P000048,2021-01-21,145.48,145.48,Paid,Monthly
P000048,2021-02-20,145.48,145.48,Paid,Monthly
P000048,2021-03-22,145.48,152.76,Late,Monthly
P000048,2021-04-21,145.48,145.48,Paid,Monthly
P000048,2021-05-21,145.48,145.48,Paid,Monthly
P000049,2019-03-30,77.14,77.14,Paid,Monthly
P000049,2019-04-29,77.14,77.14,Paid,Monthly
P000049,2019-05-29,77.14,77.14,Paid,Monthly
P000049,2019-06-28,77.14,77.14,Paid,Monthly
P000049,2019-07-28,77.14,77.14,Paid,Monthly
P000049,2019-08-27,77.14,77.14,Paid,Monthly
P000049,2019-09-26,77.14,77.14,Paid,Monthly
P000049,2019-10-26,77.14,77.14,Paid,Monthly
P000049,2019-11-25,77.14,77.14,Paid,Monthly
P000049,2019-12-25,77.14,77.14,Paid,Monthly
P000049,2020-01-24,77.14,77.14,Paid,Monthly
P000049,2020-02-23,77.14,81.0,Late,Monthly
P000050,2021-07-29,112.04,112.04,Paid,Monthly
P000050,2021-08-28,112.04,112.04,Paid,Monthly
P000050,2021-09-27,112.04,112.04,Paid,Monthly
P000050,2021-10-27,112.04,112.04,Paid,Monthly
P000050,2021-11-26,112.04,112.04,Paid,Monthly
P000050,2021-12-26,112.04,112.04,Paid,Monthly
P000051,2022-01-03,83.26,83.26,Paid,Monthly
P000051,2022-02-02,83.26,83.26,Paid,Monthly
P000051,2022-03-04,83.26,83.26,Paid,Monthly
P000051,2022-04-03,83.26,83.26,Paid,Monthly
P000051,2022-05-03,83.26,83.26,Paid,Monthly
P000051,2022-06-02,83.26,83.26,Paid,Monthly
P000051,2022-07-02,83.26,83.26,Paid,Monthly
P000051,2022-08-01,83.26,83.26,Paid,Monthly
P000051,2022-08-31,83.26,83.26,Paid,Monthly
P000051,2022-09-30,83.26,83.26,Paid,Monthly
P000051,2022-10-30,83.26,83.26,Paid,Monthly
P000051,2022-11-29,83.26,83.26,Paid,Monthly
P000052,2019-09-13,70.18,70.18,Paid,Monthly
P000052,2019-10-13,70.18,70.18,Paid,Monthly
P000052,2019-11-12,70.18,70.18,Paid,Monthly
P000052,2019-12-12,70.18,70.18,Paid,Monthly
P000052,2020-01-11,70.18,70.18,Paid,Monthly
P000052,2020-02-10,70.18,0.0,Missed,Monthly
P000052,2020-03-11,70.18,70.18,Paid,Monthly
P000052,2020-04-10,70.18,70.18,Paid,Monthly
P000052,2020-05-10,70.18,70.18,Paid,Monthly
P000052,2020-06-09,70.18,70.18,Paid,Monthly
P000052,2020-07-09,70.18,70.18,Paid,Monthly
P000052,2020-08-08,70.18,73.69,Late,Monthly
P000053,2021-02-14,363.31,363.31,Paid,Semi-Annual
P000054,2019-06-11,78.91,78.91,Paid,Monthly
P000054,2019-07-11,78.91,78.91,Paid,Monthly
P000054,2019-08-10,78.91,78.91,Paid,Monthly
P000054,2019-09-09,78.91,78.91,Paid,Monthly
P000054,2019-10-09,78.91,78.91,Paid,Monthly
P000054,2019-11-08,78.91,78.91,Paid,Monthly
P000054,2019-12-08,78.91,78.91,Paid,Monthly
P000054,2020-01-07,78.91,78.91,Paid,Monthly
P000054,2020-02-06,78.91,78.91,Paid,Monthly
P000054,2020-03-07,78.91,78.91,Paid,Monthly
P000054,2020-04-06,78.91,78.91,Paid,Monthly
P000054,2020-05-06,78.91,78.91,Paid,Monthly
P000055,2022-02-04,714.87,714.87,Paid,Semi-Annual
P000056,2020-08-23,119.62,119.62,Paid,Monthly
P000056,2020-09-22,119.62,119.62,Paid,Monthly
P000056,2020-10-22,119.62,119.62,Paid,Monthly
P000056,2020-11-21,119.62,119.62,Paid,Monthly
P000056,2020-12-21,119.62,119.62,Paid,Monthly
P000056,2021-01-20,119.62,119.62,Paid,Monthly
P000056,2021-02-19,119.62,119.62,Paid,Monthly
P000056,2021-03-21,119.62,119.62,Paid,Monthly
P000056,2021-04-20,119.62,119.62,Paid,Monthly
P000056,2021-05-20,119.62,119.62,Paid,Monthly
P000056,2021-06-19,119.62,119.62,Paid,Monthly
P000056,2021-07-19,119.62,119.62,Paid,Monthly
P000057,2022-07-11,345.24,345.24,Paid,Quarterly
P000057,2022-10-09,345.24,345.24,Paid,Quarterly
P000058,2022-06-20,63.62,63.62,Paid,Monthly
P000058,2022-07-20,63.62,63.62,Paid,Monthly
P000058,2022-08-19,63.62,63.62,Paid,Monthly
P000058,2022-09-18,63.62,63.62,Paid,Monthly
P000058,2022-10-18,63.62,63.62,Paid,Monthly
P000058,2022-11-17,63.62,63.62,Paid,Monthly
P000059,2021-01-10,292.88,292.88,Paid,Quarterly
P000059,2021-04-10,292.88,292.88,Paid,Quarterly
P000060,2022-03-28,193.26,193.26,Paid,Quarterly
P000060,2022-06-26,193.26,193.26,Paid,Quarterly
P000060,2022-09-24,193.26,193.26,Paid,Quarterly
P000060,2022-12-23,193.26,193.26,Paid,Quarterly
P000061,2020-01-29,1184.58,1184.58,Paid,Semi-Annual
P000063,2019-05-23,87.7,87.7,Paid,Monthly
P000063,2019-06-22,87.7,87.7,Paid,Monthly
P000063,2019-07-22,87.7,87.7,Paid,Monthly
P000063,2019-08-21,87.7,87.7,Paid,Monthly
P000063,2019-09-20,87.7,87.7,Paid,Monthly
P000063,2019-10-20,87.7,87.7,Paid,Monthly
P000063,2019-11-19,87.7,87.7,Paid,Monthly
P000063,2019-12-19,87.7,87.7,Paid,Monthly
P000063,2020-01-18,87.7,87.7,Paid,Monthly
P000063,2020-02-17,87.7,87.7,Paid,Monthly
P000063,2020-03-18,87.7,87.7,Paid,Monthly
P000063,2020-04-17,87.7,87.7,Paid,Monthly
P000065,2022-09-16,36.09,36.09,Paid,Monthly
P000065,2022-10-16,36.09,36.09,Paid,Monthly
P000065,2022-11-15,36.09,36.09,Paid,Monthly
P000065,2022-12-15,36.09,36.09,Paid,Monthly
P000065,2023-01-14,36.09,36.09,Paid,Monthly
P000065,2023-02-13,36.09,36.09,Paid,Monthly
P000066,2020-04-11,100.72,100.72,Paid,Monthly
P000066,2020-05-11,100.72,100.72,Paid,Monthly
P000066,2020-06-10,100.72,100.72,Paid,Monthly
P000066,2020-07-10,100.72,100.72,Paid,Monthly
P000066,2020-08-09,100.72,100.72,Paid,Monthly
P000066,2020-09-08,100.72,100.72,Paid,Monthly
P000066,2020-10-08,100.72,100.72,Paid,Monthly
P000066,2020-11-07,100.72,100.72,Paid,Monthly
P000066,2020-12-07,100.72,100.72,Paid,Monthly
P000066,2021-01-06,100.72,100.72,Paid,Monthly
P000066,2021-02-05,100.72,100.72,Paid,Monthly
P000066,2021-03-07,100.72,100.72,Paid,Monthly
P000067,2020-08-15,172.04,172.04,Paid,Monthly
P000067,2020-09-14,172.04,172.04,Paid,Monthly
P000067,2020-10-14,172.04,180.64,Late,Monthly
P000067,2020-11-13,172.04,172.04,Paid,Monthly
P000067,2020-12-13,172.04,172.04,Paid,Monthly
P000067,2021-01-12,172.04,172.04,Paid,Monthly
P000068,2019-06-13,282.56,282.56,Paid,Quarterly
P000068,2019-09-11,282.56,282.56,Paid,Quarterly
P000068,2019-12-10,282.56,282.56,Paid,Quarterly
P000068,2020-03-09,282.56,282.56,Paid,Quarterly
P000070,2019-07-26,101.14,101.14,Paid,Monthly
P000070,2019-08-25,101.14,101.14,Paid,Monthly
P000070,2019-09-24,101.14,101.14,Paid,Monthly
P000070,2019-10-24,101.14,101.14,Paid,Monthly
P000070,2019-11-23,101.14,101.14,Paid,Monthly
P000070,2019-12-23,101.14,101.14,Paid,Monthly
P000070,2020-01-22,101.14,106.2,Late,Monthly
P000070,2020-02-21,101.14,101.14,Paid,Monthly
P000070,2020-03-22,101.14,101.14,Paid,Monthly
P000070,2020-04-21,101.14,101.14,Paid,Monthly
P000070,2020-05-21,101.14,101.14,Paid,Monthly
P000070,2020-06-20,101.14,101.14,Paid,Monthly
P000071,2021-02-17,544.1,544.1,Paid,Semi-Annual
P000072,2020-07-23,53.88,53.88,Paid,Monthly
P000072,2020-08-22,53.88,53.88,Paid,Monthly
P000072,2020-09-21,53.88,53.88,Paid,Monthly
P000072,2020-10-21,53.88,53.88,Paid,Monthly
P000072,2020-11-20,53.88,53.88,Paid,Monthly
P000072,2020-12-20,53.88,53.88,Paid,Monthly
P000073,2021-07-17,368.06,368.06,Paid,Quarterly
P000073,2021-10-15,368.06,368.06,Paid,Quarterly
P000076,2019-11-30,75.55,75.55,Paid,Monthly
P000076,2019-12-30,75.55,75.55,Paid,Monthly
P000076,2020-01-29,75.55,75.55,Paid,Monthly
P000076,2020-02-28,75.55,75.55,Paid,Monthly
P000076,2020-03-29,75.55,75.55,Paid,Monthly
P000076,2020-04-28,75.55,75.55,Paid,Monthly
P000076,2020-05-28,75.55,75.55,Paid,Monthly
P000076,2020-06-27,75.55,75.55,Paid,Monthly
P000076,2020-07-27,75.55,79.33,Late,Monthly
P000076,2020-08-26,75.55,75.55,Paid,Monthly
P000076,2020-09-25,75.55,75.55,Paid,Monthly
P000076,2020-10-25,75.55,75.55,Paid,Monthly
P000077,2021-01-28,683.47,683.47,Paid,Semi-Annual
P000079,2020-03-05,648.61,648.61,Paid,Semi-Annual
P000080,2022-10-04,129.83,129.83,Paid,Monthly
P000080,2022-11-03,129.83,129.83,Paid,Monthly
P000080,2022-12-03,129.83,129.83,Paid,Monthly
P000080,2023-01-02,129.83,129.83,Paid,Monthly
P000080,2023-02-01,129.83,129.83,Paid,Monthly
P000080,2023-03-03,129.83,129.83,Paid,Monthly
P000081,2020-06-30,94.58,94.58,Paid,Monthly
P000081,2020-07-30,94.58,94.58,Paid,Monthly
P000081,2020-08-29,94.58,94.58,Paid,Monthly
P000081,2020-09-28,94.58,94.58,Paid,Monthly
P000081,2020-10-28,94.58,94.58,Paid,Monthly
P000081,2020-11-27,94.58,94.58,Paid,Monthly
P000081,2020-12-27,94.58,94.58,Paid,Monthly
