investment_id,fund_id,investor_class,investor_id,call_date,investment_amount
INV000087,FUND001,Institutional,IN_7207,2021-04-10,5502621
INV000088,FUND001,Institutional,IN_4729,2024-04-27,2924773
INV000089,FUND001,Institutional,IN_5930,2022-09-30,4570804
INV000090,FUND001,Institutional,IN_5380,2024-02-25,9821769
INV000091,FUND001,Institutional,IN_9476,2024-09-16,2760428
INV000092,FUND001,Institutional,IN_9476,2022-09-25,8193904
INV000093,FUND001,Institutional,IN_7207,2020-02-27,6638734
INV000094,FUND001,Institutional,IN_7207,2021-08-15,9036880
INV000095,FUND001,Institutional,IN_5380,2021-02-27,2924203
INV000096,FUND001,Institutional,IN_3012,2022-04-24,2993157
INV000097,FUND001,Institutional,IN_4729,2020-07-07,7427840
INV000098,FUND001,Institutional,IN_7207,2020-09-19,5822472
INV000099,FUND001,Institutional,IN_8046,2023-04-09,2725559
INV000100,FUND001,Institutional,IN_5380,2023-08-13,2977395
INV000101,FUND001,Institutional,IN_3012,2022-10-11,7868828
INV000102,FUND001,Institutional,IN_9476,2023-02-17,2649808
INV000103,FUND001,Institutional,IN_5380,2024-04-07,3654662
INV000104,FUND001,Institutional,IN_7207,2022-07-30,4696356
INV000105,FUND001,Institutional,IN_3012,2020-10-22,1455336
INV000106,FUND001,Institutional,IN_5930,2021-11-04,9232940
INV000107,FUND001,Institutional,IN_7207,2024-04-28,6604063
INV000108,FUND001,Institutional,IN_9476,2020-12-11,2630222
INV000109,FUND001,Institutional,IN_3012,2022-08-18,4340520
INV000110,FUND001,Institutional,IN_9476,2020-11-04,6247079
INV000111,FUND001,Institutional,IN_5380,2021-05-14,5028517
INV000112,FUND001,Institutional,IN_7207,2021-12-11,1021688
INV000113,FUND001,Institutional,IN_8046,2021-12-04,3419932
INV000114,FUND002,ClassA,CA_7363,2023-03-26,215942
INV000115,FUND002,ClassA,CA_7363,2023-09-08,465330
INV000116,FUND002,ClassA,CA_8939,2020-03-16,312923
INV000117,FUND002,ClassA,CA_4857,2022-05-06,269272
INV000118,FUND002,ClassA,CA_4857,2024-01-22,115420
INV000119,FUND002,ClassA,CA_4857,2024-12-07,132407
INV000120,FUND002,ClassA,CA_4857,2024-09-01,119327
INV000121,FUND002,ClassA,CA_7363,2023-11-29,289347
INV000122,FUND002,ClassA,CA_8939,2024-04-09,101215
INV000123,FUND002,ClassA,CA_7363,2024-06-20,165741
INV000124,FUND002,ClassA,CA_4857,2020-05-10,149757
INV000125,FUND002,ClassA,CA_8939,2021-10-18,196874
INV000126,FUND002,ClassA,CA_4857,2022-08-01,467849
INV000127,FUND002,ClassA,CA_6530,2023-11-24,477151
INV000128,FUND002,ClassA,CA_7363,2023-09-06,344182
INV000129,FUND002,ClassA,CA_7363,2022-02-19,236547
INV000130,FUND002,ClassA,CA_7363,2021-12-01,315773
INV000131,FUND002,ClassA,CA_4857,2024-06-20,76477
INV000132,FUND002,ClassA,CA_6530,2022-05-29,259057
INV000133,FUND002,ClassA,CA_8939,2020-09-04,204172
INV000134,FUND002,ClassA,CA_4857,2021-07-14,193655
INV000135,FUND002,ClassA,CA_7363,2020-06-23,145789
INV000136,FUND002,ClassA,CA_7363,2024-02-25,288171
INV000137,FUND002,ClassA,CA_6530,2022-07-09,134146
INV000138,FUND002,ClassA,CA_6530,2024-06-06,50748
INV000139,FUND002,ClassA,CA_8939,2024-12-16,245217
INV000140,FUND002,ClassA,CA_6530,2024-11-29,235448
INV000141,FUND002,ClassA,CA_8939,2024-08-18,300062
INV000142,FUND002,ClassA,CA_4857,2022-02-21,53688
INV000143,FUND002,ClassA,CA_7363,2024-02-23,455218
INV000144,FUND002,ClassA,CA_4857,2022-09-03,301145
INV000145,FUND002,ClassA,CA_7363,2022-02-05,380396
INV000146,FUND002,ClassB,CB_3460,2020-02-09,1625976
INV000147,FUND002,ClassB,CB_3460,2024-06-14,607524
INV000148,FUND002,ClassB,CB_3460,2020-11-13,998710
INV000149,FUND002,ClassB,CB_3460,2024-11-26,983785
INV000150,FUND002,ClassB,CB_8181,2024-09-14,1566486
INV000151,FUND002,ClassB,CB_2556,2021-09-21,1639615
INV000152,FUND002,ClassB,CB_8181,2021-08-22,1117827
INV000153,FUND002,ClassB,CB_8181,2024-05-05,1675628
INV000154,FUND002,ClassB,CB_2556,2023-01-02,1369187
INV000155,FUND002,ClassB,CB_2556,2020-04-22,949354
INV000156,FUND002,ClassB,CB_2556,2020-11-23,1278867
INV000157,FUND002,ClassB,CB_2556,2024-09-17,980936
INV000158,FUND002,ClassB,CB_3460,2022-03-13,1645287
INV000159,FUND002,ClassB,CB_3460,2024-09-07,1249864
INV000160,FUND002,ClassB,CB_3460,2020-11-01,1320092
INV000161,FUND002,ClassB,CB_3460,2020-09-16,364455
INV000162,FUND002,ClassB,CB_3460,2024-11-15,1432718
INV000163,FUND002,ClassB,CB_3460,2022-06-05,987933
INV000164,FUND002,ClassB,CB_2556,2021-07-20,1921048
INV000165,FUND002,ClassB,CB_2556,2022-01-10,1986118
INV000166,FUND002,ClassB,CB_3460,2023-01-15,774917
INV000167,FUND002,ClassB,CB_2556,2023-04-29,489081
INV000168,FUND002,ClassB,CB_8181,2022-09-11,273515
INV000169,FUND002,ClassB,CB_2556,2020-12-10,1493524
INV000170,FUND002,ClassB,CB_2556,2021-12-10,640304
INV000171,FUND002,ClassB,CB_2556,2020-11-12,1075096
INV000172,FUND002,ClassB,CB_8181,2023-02-16,1632429
INV000173,FUND002,ClassB,CB_8181,2023-01-18,1827243
INV000174,FUND002,ClassB,CB_8181,2021-02-08,424194
INV000175,FUND002,ClassB,CB_8181,2024-06-21,419774
INV000176,FUND002,ClassB,CB_3460,2020-09-12,1993615
INV000177,FUND002,ClassB,CB_8181,2022-06-28,1735213
INV000178,FUND002,ClassB,CB_3460,2021-01-25,468539
INV000179,FUND002,ClassB,CB_2556,2020-12-26,1009677
INV000180,FUND002,ClassB,CB_2556,2021-11-02,980627
INV000181,FUND002,ClassB,CB_2556,2020-10-17,373703
INV000182,FUND002,ClassB,CB_3460,2022-01-17,1111740
INV000183,FUND002,ClassB,CB_8181,2023-03-18,1017673
INV000184,FUND002,ClassB,CB_2556,2022-04-03,906512
INV000185,FUND002,ClassB,CB_3460,2022-06-01,1119694
INV000186,FUND002,ClassB,CB_3460,2023-05-26,1773146
INV000187,FUND002,ClassB,CB_8181,2024-08-02,1606333
INV000188,FUND002,ClassB,CB_2556,2020-05-11,1500157
INV000189,FUND002,ClassB,CB_8181,2023-07-08,1767273
INV000190,FUND002,ClassB,CB_2556,2020-03-04,1323990
INV000191,FUND002,ClassB,CB_8181,2021-11-10,548416
INV000192,FUND002,Institutional,IN_4237,2022-01-18,6310365
INV000193,FUND002,Institutional,IN_1808,2023-08-18,2841723
INV000194,FUND002,Institutional,IN_4237,2023-12-13,3511288
INV000195,FUND002,Institutional,IN_8876,2022-09-25,7654349
INV000196,FUND002,Institutional,IN_8876,2023-05-13,8894229
INV000197,FUND002,Institutional,IN_8876,2024-11-21,2419343
INV000198,FUND002,Institutional,IN_9786,2022-08-31,7060230
INV000199,FUND002,Institutional,IN_8876,2023-12-04,8387341
INV000200,FUND002,Institutional,IN_1808,2020-11-13,5687074
INV000201,FUND002,Institutional,IN_8876,2020-02-14,4637824
INV000202,FUND002,Institutional,IN_8876,2020-09-08,6812214
INV000203,FUND002,Institutional,IN_9786,2021-04-29,4621791
INV000204,FUND002,Institutional,IN_4237,2023-05-05,8460598
INV000205,FUND002,Institutional,IN_4237,2021-05-21,4924717
INV000206,FUND002,Institutional,IN_8876,2020-09-26,9928353
INV000207,FUND002,Institutional,IN_1808,2024-07-23,8580259
INV000208,FUND002,Institutional,IN_4237,2021-12-22,5772833
INV000209,FUND002,Institutional,IN_4237,2023-12-02,4577632
INV000210,FUND002,Institutional,IN_4237,2023-07-22,7089337
INV000211,FUND002,Institutional,IN_8876,2020-12-26,5668346
INV000212,FUND002,Institutional,IN_9786,2021-07-10,3678405
INV000213,FUND002,Institutional,IN_8876,2024-03-07,2349746
INV000214,FUND002,Institutional,IN_9786,2021-04-18,4953055
INV000215,FUND002,Institutional,IN_1808,2023-05-19,7460464
INV000216,FUND002,Institutional,IN_9786,2021-09-04,7787652
INV000217,FUND002,Institutional,IN_8876,2021-02-28,4408824
INV000218,FUND002,Institutional,IN_4237,2024-05-08,1568548
INV000219,FUND002,Institutional,IN_8876,2022-07-12,6879210
INV000220,FUND002,Institutional,IN_4237,2024-08-15,5613078
INV000221,FUND002,Institutional,IN_1808,2024-04-03,4060621
INV000222,FUND002,Institutional,IN_4237,2023-04-20,6906082
INV000223,FUND003,ClassA,CA_3085,2021-09-23,257210
INV000224,FUND003,ClassA,CA_1732,2020-11-21,329820
INV000225,FUND003,ClassA,CA_1732,2023-02-10,459164
INV000226,FUND003,ClassA,CA_5107,2021-06-09,349247
INV000227,FUND003,ClassA,CA_1732,2024-04-10,104391
INV000228,FUND003,ClassA,CA_7723,2024-01-19,375566
INV000229,FUND003,ClassA,CA_3923,2023-08-11,179975
INV000230,FUND003,ClassA,CA_7723,2020-10-03,193081
INV000231,FUND003,ClassA,CA_5420,2023-11-24,345843
INV000232,FUND003,ClassA,CA_1732,2020-09-05,91946
INV000233,FUND003,ClassA,CA_5107,2024-05-21,131930
INV000234,FUND003,ClassA,CA_5107,2024-03-08,411069
INV000235,FUND003,ClassA,CA_4377,2024-12-08,57735
INV000236,FUND003,ClassA,CA_3085,2020-08-11,346544
INV000237,FUND003,ClassA,CA_4377,2021-07-07,296080
INV000238,FUND003,ClassA,CA_9784,2021-12-14,184905
INV000239,FUND003,ClassA,CA_4377,2021-10-12,104037
INV000240,FUND003,ClassA,CA_9784,2024-11-17,414855
INV000241,FUND003,ClassA,CA_3923,2021-04-11,389086
INV000242,FUND003,ClassA,CA_5107,2022-06-07,470213
INV000243,FUND003,ClassA,CA_3085,2020-10-10,413389
INV000244,FUND003,ClassA,CA_1732,2022-09-24,247780
INV000245,FUND003,ClassA,CA_5420,2021-12-22,126271
INV000246,FUND003,ClassA,CA_4377,2024-08-22,331761
INV000247,FUND003,ClassA,CA_9784,2024-08-29,157912
INV000248,FUND003,ClassA,CA_5107,2022-07-31,458881
INV000249,FUND003,ClassA,CA_7723,2022-06-20,224365
INV000250,FUND003,ClassA,CA_9784,2023-11-25,53526
INV000251,FUND003,ClassA,CA_5420,2022-10-21,231661
INV000252,FUND003,ClassA,CA_9784,2021-02-26,203734
INV000253,FUND003,ClassA,CA_5420,2024-09-09,204744
INV000254,FUND003,ClassA,CA_1732,2021-12-23,349577
INV000255,FUND003,ClassA,CA_3923,2024-08-05,274645
INV000256,FUND003,ClassA,CA_4377,2021-04-20,404010
INV000257,FUND003,ClassB,CB_8027,2023-06-15,1660945
INV000258,FUND003,ClassB,CB_3442,2023-04-24,1686030
INV000259,FUND003,ClassB,CB_5854,2024-07-10,687568
INV000260,FUND003,ClassB,CB_5854,2021-03-24,828054
INV000261,FUND003,ClassB,CB_3442,2020-09-13,923666
INV000262,FUND003,ClassB,CB_3442,2021-11-07,406681
INV000263,FUND003,ClassB,CB_2917,2021-02-10,903348
INV000264,FUND003,ClassB,CB_8027,2021-09-12,1266129
INV000265,FUND003,ClassB,CB_3442,2021-12-17,1052532
INV000266,FUND003,ClassB,CB_8939,2024-06-29,1700245
INV000267,FUND003,ClassB,CB_8939,2020-01-21,227030
INV000268,FUND003,ClassB,CB_8027,2023-07-23,1212105
INV000269,FUND003,ClassB,CB_8027,2020-07-24,1703015
INV000270,FUND003,ClassB,CB_3442,2020-06-02,1489423
INV000271,FUND003,ClassB,CB_8939,2023-08-02,1884627
INV000272,FUND003,ClassB,CB_2917,2020-11-24,712540
INV000273,FUND003,ClassB,CB_8027,2020-03-08,1149492
INV000274,FUND003,ClassB,CB_8027,2023-11-09,1881466
INV000275,FUND003,ClassB,CB_2554,2020-11-15,1500318
INV000276,FUND003,ClassB,CB_3442,2024-07-06,1372928
INV000277,FUND003,ClassB,CB_8027,2023-02-08,1413075
INV000278,FUND003,ClassB,CB_2917,2021-08-23,869782
INV000279,FUND003,ClassB,CB_2917,2024-07-16,1353658
INV000280,FUND003,ClassB,CB_8939,2020-07-14,1396563
INV000281,FUND003,ClassB,CB_8939,2022-05-03,1087079
INV000282,FUND003,ClassB,CB_2554,2020-07-18,1736112
INV000283,FUND003,ClassB,CB_3442,2024-01-23,273621
INV000284,FUND003,ClassB,CB_2554,2022-05-02,211660
INV000285,FUND003,ClassB,CB_8939,2024-03-04,1487796
INV000286,FUND003,ClassB,CB_8939,2020-04-18,1297281
INV000287,FUND003,ClassB,CB_3442,2021-05-12,1356657
INV000288,FUND003,ClassB,CB_5854,2021-04-28,1131364
INV000289,FUND003,Institutional,IN_5883,2024-12-05,8641325
INV000290,FUND003,Institutional,IN_6146,2024-08-28,3182948
INV000291,FUND003,Institutional,IN_6835,2020-12-11,2648362
INV000292,FUND003,Institutional,IN_6146,2023-01-14,6606865
INV000293,FUND003,Institutional,IN_2957,2022-02-17,5503368
INV000294,FUND003,Institutional,IN_5883,2020-04-29,8902552
INV000295,FUND003,Institutional,IN_2023,2020-02-25,4800412
INV000296,FUND003,Institutional,IN_2023,2023-07-24,3847823
INV000297,FUND003,Institutional,IN_2023,2022-11-28,2658066
INV000298,FUND003,Institutional,IN_2957,2023-07-14,1843046
INV000299,FUND003,Institutional,IN_6146,2023-08-01,3668950
INV000300,FUND003,Institutional,IN_6835,2022-04-29,1629276
INV000301,FUND003,Institutional,IN_2957,2020-09-11,2639965
INV000302,FUND003,Institutional,IN_6835,2023-05-30,1423046
INV000303,FUND003,Institutional,IN_5883,2022-11-08,3793103
INV000304,FUND003,Institutional,IN_6835,2021-08-08,1291818
INV000305,FUND003,Institutional,IN_2023,2023-05-12,5222585
INV000306,FUND003,Institutional,IN_6146,2020-11-04,8849585
INV000307,FUND003,Institutional,IN_5883,2024-05-07,7294967
INV000308,FUND003,Institutional,IN_6835,2021-01-08,8067717
INV000309,FUND003,Institutional,IN_2957,2021-12-25,5904149
INV000310,FUND003,Institutional,IN_2023,2024-11-03,8210590
INV000311,FUND003,Institutional,IN_6146,2020-11-25,2436949
INV000312,FUND003,Institutional,IN_6146,2021-11-19,2193116
INV000313,FUND003,Institutional,IN_5883,2023-08-24,5180952
INV000314,FUND003,Institutional,IN_5883,2024-05-29,3288667
INV000315,FUND003,Institutional,IN_2957,2023-04-17,1987922
INV000316,FUND003,Institutional,IN_5883,2024-03-12,2673733
INV000317,FUND003,Institutional,IN_6146,2024-09-04,8512374
INV000318,FUND003,Institutional,IN_6835,2020-11-22,1902196
INV000319,FUND003,Institutional,IN_5883,2021-09-07,7698725
INV000320,FUND003,Institutional,IN_6835,2022-07-30,7832641
INV000321,FUND003,Institutional,IN_6835,2020-05-20,9600352
INV000322,FUND003,Institutional,IN_2957,2023-10-23,9557891
INV000323,FUND003,Institutional,IN_6835,2024-08-16,1599724
INV000324,FUND003,Institutional,IN_2023,2021-08-19,9691939
INV000325,FUND003,Institutional,IN_5883,2022-10-04,2583005
INV000326,FUND003,Institutional,IN_5883,2022-05-11,4018238
INV000327,FUND003,Institutional,IN_6146,2020-02-16,8784976
INV000328,FUND003,Institutional,IN_2023,2022-02-27,1058001
INV000329,FUND003,Institutional,IN_6835,2021-04-25,6332816
INV000330,FUND003,Institutional,IN_6146,2022-09-10,1776421
INV000331,FUND003,Institutional,IN_5883,2022-01-23,5377458
INV000332,FUND003,Institutional,IN_5883,2020-06-02,9272316
INV000333,FUND003,Institutional,IN_6835,2024-05-19,5870159
INV000334,FUND003,Institutional,IN_6146,2022-04-06,4866372
INV000335,FUND003,Institutional,IN_5883,2020-11-21,5486185
INV000336,FUND003,Institutional,IN_2957,2021-03-28,3980758
INV000337,FUND003,Institutional,IN_5883,2020-06-14,7949810
INV000338,FUND004,ClassA,CA_6449,2021-12-21,158569
INV000339,FUND004,ClassA,CA_4906,2023-04-09,110462
INV000340,FUND004,ClassA,CA_4906,2021-03-28,375177
INV000341,FUND004,ClassA,CA_6449,2022-01-12,301937
INV000342,FUND004,ClassA,CA_4906,2024-07-05,332240
INV000343,FUND004,ClassA,CA_7016,2023-11-02,216738
INV000344,FUND004,ClassA,CA_3639,2024-11-24,250598
INV000345,FUND004,ClassA,CA_7016,2024-11-11,175549
INV000346,FUND004,ClassA,CA_3639,2023-10-22,147987
INV000347,FUND004,ClassA,CA_8298,2024-05-20,278661
INV000348,FUND004,ClassA,CA_7016,2023-07-16,73714
INV000349,FUND004,ClassA,CA_8298,2020-01-31,66521
INV000350,FUND004,ClassA,CA_6449,2024-12-01,452599
INV000351,FUND004,ClassA,CA_7016,2023-12-16,206673
INV000352,FUND004,ClassA,CA_6449,2020-06-07,265257
INV000353,FUND004,ClassA,CA_7016,2024-06-21,359002
INV000354,FUND004,ClassA,CA_7016,2024-01-11,283807
INV000355,FUND004,ClassA,CA_4906,2021-04-17,127788
INV000356,FUND004,ClassA,CA_8298,2023-03-01,100713
INV000357,FUND004,ClassA,CA_7016,2024-07-01,394291
INV000358,FUND004,ClassA,CA_4906,2024-09-10,452732
INV000359,FUND004,ClassA,CA_7016,2024-09-17,86847
INV000360,FUND004,ClassA,CA_8298,2023-12-10,404737
INV000361,FUND004,ClassA,CA_6449,2024-09-04,66061
INV000362,FUND004,ClassA,CA_7016,2022-04-08,433246
INV000363,FUND004,ClassA,CA_3639,2024-02-22,172343
INV000364,FUND004,ClassA,CA_3639,2022-03-04,479908
INV000365,FUND004,ClassA,CA_3639,2021-09-13,383370
INV000366,FUND004,ClassA,CA_7016,2023-08-05,237179
INV000367,FUND004,ClassA,CA_4906,2022-07-05,495467
INV000368,FUND004,ClassA,CA_6449,2023-07-06,94294
INV000369,FUND004,ClassA,CA_4906,2023-04-01,136808
INV000370,FUND004,ClassB,CB_8572,2023-01-01,1869319
INV000371,FUND004,ClassB,CB_6461,2022-09-21,851478
INV000372,FUND004,ClassB,CB_9621,2024-08-10,1645316
INV000373,FUND004,ClassB,CB_6461,2021-07-05,1123128
INV000374,FUND004,ClassB,CB_2477,2020-12-11,1563804
INV000375,FUND004,ClassB,CB_9621,2022-11-06,1311501
INV000376,FUND004,ClassB,CB_8572,2020-01-31,1656150
INV000377,FUND004,ClassB,CB_9621,2022-10-02,1335839
INV000378,FUND004,ClassB,CB_5095,2020-08-03,1745966
INV000379,FUND004,ClassB,CB_8572,2021-06-30,1630495
INV000380,FUND004,ClassB,CB_6461,2023-10-02,486314
INV000381,FUND004,ClassB,CB_2477,2024-03-23,595728
INV000382,FUND004,ClassB,CB_2477,2020-09-08,663954
INV000383,FUND004,ClassB,CB_9621,2023-01-29,1898709
INV000384,FUND004,ClassB,CB_8572,2021-01-01,1436541
INV000385,FUND004,ClassB,CB_4664,2022-02-11,315869
INV000386,FUND004,ClassB,CB_4664,2022-03-11,562663
INV000387,FUND004,ClassB,CB_6461,2021-05-27,1692430
INV000388,FUND004,ClassB,CB_8572,2024-09-03,1054651
INV000389,FUND004,ClassB,CB_4664,2024-02-05,829734
INV000390,FUND004,ClassB,CB_9621,2021-05-05,1090649
INV000391,FUND004,ClassB,CB_5095,2020-05-02,1195834
INV000392,FUND004,ClassB,CB_4664,2024-09-18,1800004
INV000393,FUND004,ClassB,CB_8572,2023-04-20,1168023
INV000394,FUND004,ClassB,CB_4664,2022-10-17,1477938
INV000395,FUND004,ClassB,CB_4664,2021-03-17,664012
INV000396,FUND004,ClassB,CB_9621,2020-07-24,788202
INV000397,FUND004,ClassB,CB_6461,2021-12-23,1012329
INV000398,FUND004,ClassB,CB_9621,2024-09-23,1783325
INV000399,FUND004,ClassB,CB_5095,2024-05-13,1775582
INV000400,FUND004,ClassB,CB_6461,2022-05-19,1480573
INV000401,FUND004,ClassB,CB_9621,2022-11-30,1423229
INV000402,FUND004,ClassB,CB_8572,2021-01-03,1988410
INV000403,FUND004,ClassB,CB_2477,2020-02-10,1719003
INV000404,FUND004,ClassB,CB_8572,2024-01-20,452478
INV000405,FUND004,ClassB,CB_5095,2022-02-11,1042736
INV000406,FUND004,ClassB,CB_6461,2020-12-30,274561
INV000407,FUND004,ClassB,CB_9621,2022-12-16,1512919
INV000408,FUND004,ClassB,CB_5095,2022-11-11,599146
INV000409,FUND004,ClassB,CB_5095,2021-07-08,1154181
INV000410,FUND004,Institutional,IN_4720,2023-01-02,9890004
INV000411,FUND004,Institutional,IN_7129,2024-11-03,7653695
INV000412,FUND004,Institutional,IN_4720,2022-12-03,4621112
INV000413,FUND004,Institutional,IN_8375,2023-03-28,2705303
INV000414,FUND004,Institutional,IN_7129,2022-11-12,7041872
INV000415,FUND004,Institutional,IN_4720,2024-12-14,5628999
INV000416,FUND004,Institutional,IN_4720,2023-01-13,1816054
INV000417,FUND004,Institutional,IN_4787,2022-12-07,8835761
INV000418,FUND004,Institutional,IN_8375,2021-01-23,7094480
INV000419,FUND004,Institutional,IN_8375,2020-09-23,5847197
INV000420,FUND004,Institutional,IN_4787,2021-10-02,6816718
INV000421,FUND004,Institutional,IN_8375,2022-05-26,2011503
INV000422,FUND004,Institutional,IN_4787,2021-02-01,6452862
INV000423,FUND004,Institutional,IN_7129,2022-01-18,1778239
INV000424,FUND004,Institutional,IN_4720,2024-03-30,7667450
INV000425,FUND004,Institutional,IN_4720,2023-05-05,2039429
INV000426,FUND004,Institutional,IN_7129,2023-12-30,9872996
INV000427,FUND004,Institutional,IN_4720,2022-04-20,1014168
INV000428,FUND004,Institutional,IN_4720,2023-09-08,8765837
INV000429,FUND004,Institutional,IN_4720,2022-09-02,9299748
INV000430,FUND004,Institutional,IN_8375,2024-10-10,6376789
INV000431,FUND004,Institutional,IN_8375,2024-11-20,3567809
INV000432,FUND004,Institutional,IN_4720,2021-08-14,8784184
INV000433,FUND004,Institutional,IN_7129,2020-10-12,4757565
INV000434,FUND004,Institutional,IN_4787,2023-11-28,4162069
INV000435,FUND004,Institutional,IN_7129,2021-03-25,7744637
INV000436,FUND004,Institutional,IN_7129,2020-05-29,4110759
INV000437,FUND004,Institutional,IN_4720,2023-03-24,2503420
INV000438,FUND004,Institutional,IN_8375,2024-09-11,5784240
INV000439,FUND004,Institutional,IN_4720,2024-01-07,1553267
INV000440,FUND004,Institutional,IN_7129,2024-06-08,2299831
INV000441,FUND004,Institutional,IN_4720,2024-01-29,7917598
