Ticket_ID,Created_Date,Priority,Category,Resolution_Time_Hours,Customer_Satisfaction,Agent_ID
TKT_10152,2024-12-13,Medium,Billing Question,13.8,4.6,Agent_05
TKT_10153,2024-12-30,Medium,Account Access,17.1,3.9,Agent_03
TKT_10154,2024-10-16,Medium,Technical Issue,40.5,3.4,Agent_08
TKT_10155,2024-11-10,High,Billing Question,1.8,4.3,Agent_06
TKT_10156,2024-11-07,Low,Bug Report,174.2,3.2,Agent_03
TKT_10157,2024-11-26,Low,Account Access,64.4,3.9,Agent_02
TKT_10158,2024-10-18,High,Bug Report,2.1,4.3,Agent_05
TKT_10159,2024-10-29,Medium,Feature Request,15.4,3.8,Agent_02
TKT_10160,2024-10-25,Low,Bug Report,167.4,3.3,Agent_04
TKT_10161,2024-10-26,High,Technical Issue,4.8,3.4,Agent_08
TKT_10162,2024-12-05,High,Feature Request,2.6,4.0,Agent_08
TKT_10163,2024-10-08,Medium,Account Access,24.9,3.8,Agent_03
TKT_10164,2024-11-19,High,Account Access,2.3,4.1,Agent_05
TKT_10165,2024-11-27,High,Bug Report,5.1,3.1,Agent_04
TKT_10166,2024-11-23,Medium,Feature Request,40.4,3.3,Agent_03
TKT_10167,2024-11-24,High,Feature Request,1.5,4.1,Agent_02
TKT_10168,2024-12-07,High,Account Access,1.0,4.5,Agent_07
TKT_10169,2024-12-11,Low,Feature Request,79.3,4.0,Agent_03
TKT_10170,2024-11-07,Medium,Bug Report,39.5,3.2,Agent_01
TKT_10171,2024-12-14,Medium,Account Access,11.8,4.6,Agent_08
TKT_10172,2024-10-20,Medium,Account Access,9.9,4.5,Agent_08
TKT_10173,2024-11-06,High,Feature Request,4.8,3.2,Agent_08
TKT_10174,2024-10-04,Medium,Technical Issue,48.5,2.9,Agent_08
TKT_10175,2024-11-16,Medium,Bug Report,34.3,3.3,Agent_07
TKT_10176,2024-11-30,Medium,Technical Issue,44.9,3.1,Agent_01
TKT_10177,2024-10-08,Medium,Billing Question,18.4,3.7,Agent_08
TKT_10178,2024-10-21,Medium,Account Access,7.7,4.3,Agent_06
TKT_10179,2024-12-21,Low,Technical Issue,184.3,2.9,Agent_04
TKT_10180,2024-10-13,High,Bug Report,4.6,3.3,Agent_06
TKT_10181,2024-12-27,Medium,Account Access,8.5,4.5,Agent_06
TKT_10182,2024-10-19,High,Technical Issue,4.3,3.4,Agent_05
TKT_10183,2024-11-13,High,Billing Question,1.1,4.2,Agent_04
TKT_10184,2024-10-25,Low,Bug Report,75.2,4.0,Agent_02
TKT_10185,2024-10-15,High,Billing Question,1.4,4.5,Agent_08
TKT_10186,2024-10-18,Low,Feature Request,59.3,3.8,Agent_06
TKT_10187,2024-10-16,High,Billing Question,2.3,3.7,Agent_03
TKT_10188,2024-10-27,High,Billing Question,1.7,4.7,Agent_07
TKT_10189,2024-10-10,Medium,Technical Issue,13.0,4.3,Agent_07
TKT_10190,2024-12-24,Low,Bug Report,111.7,3.6,Agent_01
TKT_10191,2024-10-06,Medium,Technical Issue,41.6,3.5,Agent_01
TKT_10192,2024-12-17,Low,Billing Question,37.7,4.3,Agent_04
TKT_10193,2024-10-12,Low,Billing Question,97.3,4.2,Agent_05
TKT_10194,2024-12-18,Low,Billing Question,20.9,4.3,Agent_02
TKT_10195,2024-10-02,High,Bug Report,6.2,2.9,Agent_04
TKT_10196,2024-12-08,Low,Technical Issue,136.9,3.2,Agent_02
TKT_10197,2024-12-29,High,Bug Report,4.3,2.9,Agent_08
TKT_10198,2024-11-15,Medium,Feature Request,29.8,3.0,Agent_04
TKT_10199,2024-11-10,Medium,Technical Issue,23.7,3.7,Agent_02
TKT_10200,2024-11-16,Low,Account Access,37.6,4.6,Agent_01
TKT_10201,2024-11-19,Medium,Account Access,26.1,4.5,Agent_05
TKT_10202,2024-10-29,Medium,Bug Report,54.1,3.4,Agent_05
TKT_10203,2024-10-09,Low,Feature Request,60.1,4.2,Agent_06
TKT_10204,2024-11-20,Low,Feature Request,43.6,4.1,Agent_02
TKT_10205,2024-12-28,High,Bug Report,2.1,4.1,Agent_03
TKT_10206,2024-11-13,Low,Billing Question,25.7,4.8,Agent_07
TKT_10207,2024-12-03,Low,Account Access,111.0,3.6,Agent_05
TKT_10208,2024-11-21,Medium,Account Access,23.1,4.1,Agent_07
TKT_10209,2024-10-19,High,Feature Request,1.8,4.2,Agent_02
TKT_10210,2024-12-20,High,Billing Question,1.6,4.4,Agent_02
TKT_10211,2024-12-03,High,Technical Issue,3.9,3.2,Agent_07
TKT_10212,2024-11-08,Low,Bug Report,107.4,3.8,Agent_02
TKT_10213,2024-12-06,Medium,Feature Request,22.5,3.9,Agent_04
TKT_10214,2024-12-04,Low,Account Access,84.8,3.9,Agent_06
TKT_10215,2024-10-03,Medium,Technical Issue,20.1,3.6,Agent_02
TKT_10216,2024-10-05,High,Technical Issue,7.2,3.3,Agent_05
TKT_10217,2024-11-25,Medium,Feature Request,20.6,3.7,Agent_02
TKT_10218,2024-12-10,Low,Bug Report,108.5,3.3,Agent_08
TKT_10219,2024-12-04,Medium,Technical Issue,38.8,3.7,Agent_05
TKT_10220,2024-12-18,Medium,Account Access,7.9,4.5,Agent_06
TKT_10221,2024-10-17,Medium,Account Access,23.1,4.2,Agent_01
TKT_10222,2024-11-18,Medium,Account Access,12.4,4.7,Agent_07
TKT_10223,2024-11-01,Low,Billing Question,71.3,4.5,Agent_05
TKT_10224,2024-10-09,High,Account Access,1.3,4.4,Agent_06
TKT_10225,2024-10-05,Low,Feature Request,96.3,4.3,Agent_07
TKT_10226,2024-11-04,Low,Feature Request,165.5,3.3,Agent_01
TKT_10227,2024-11-19,Low,Account Access,68.8,3.5,Agent_02
TKT_10228,2024-12-26,Medium,Billing Question,12.9,4.6,Agent_08
TKT_10229,2024-11-13,Low,Billing Question,54.6,4.7,Agent_05
TKT_10230,2024-12-03,Low,Technical Issue,107.6,3.6,Agent_04
TKT_10231,2024-12-13,High,Feature Request,3.0,3.8,Agent_02
TKT_10232,2024-12-15,Medium,Account Access,13.7,4.2,Agent_02
TKT_10233,2024-11-24,Medium,Billing Question,11.2,4.1,Agent_02
TKT_10234,2024-11-08,Low,Feature Request,62.3,3.9,Agent_06
TKT_10235,2024-12-19,Medium,Bug Report,46.5,3.1,Agent_03
TKT_10236,2024-12-06,Low,Billing Question,34.8,4.7,Agent_08
TKT_10237,2024-11-29,Low,Account Access,88.9,4.2,Agent_07
TKT_10238,2024-10-08,High,Bug Report,3.1,3.8,Agent_06
TKT_10239,2024-12-27,Medium,Account Access,11.9,4.8,Agent_07
TKT_10240,2024-10-09,Medium,Billing Question,22.0,4.3,Agent_05
TKT_10241,2024-11-02,High,Bug Report,2.2,3.8,Agent_07
TKT_10242,2024-10-04,Medium,Billing Question,12.7,4.7,Agent_08
TKT_10243,2024-11-24,High,Technical Issue,3.4,3.6,Agent_03
TKT_10244,2024-11-05,High,Bug Report,5.6,3.3,Agent_01
TKT_10245,2024-10-03,High,Technical Issue,4.1,3.3,Agent_06
TKT_10246,2024-11-22,Low,Account Access,45.1,4.4,Agent_02
TKT_10247,2024-10-18,High,Billing Question,1.3,4.4,Agent_02
TKT_10248,2024-12-07,Medium,Account Access,9.0,4.0,Agent_02
TKT_10249,2024-11-10,Low,Account Access,80.3,4.2,Agent_07
TKT_10250,2024-11-24,High,Billing Question,0.8,4.5,Agent_02
TKT_10251,2024-11-26,Medium,Feature Request,26.4,4.1,Agent_01
TKT_10252,2024-10-15,Low,Account Access,57.9,3.9,Agent_07
TKT_10253,2024-11-05,Medium,Billing Question,16.0,4.1,Agent_08
TKT_10254,2024-10-03,High,Bug Report,4.5,3.5,Agent_01
TKT_10255,2024-10-31,Low,Account Access,46.8,4.8,Agent_07
TKT_10256,2024-11-16,Low,Technical Issue,198.9,3.0,Agent_04
TKT_10257,2024-11-20,Medium,Account Access,19.1,3.9,Agent_02
TKT_10258,2024-11-08,High,Billing Question,1.9,4.2,Agent_08
TKT_10259,2024-12-22,High,Feature Request,5.8,3.6,Agent_05
TKT_10260,2024-11-22,Low,Account Access,85.0,4.2,Agent_07
TKT_10261,2024-12-04,Medium,Technical Issue,30.1,3.4,Agent_07
TKT_10262,2024-10-04,Low,Technical Issue,166.5,3.2,Agent_03
TKT_10263,2024-10-18,Medium,Technical Issue,40.5,3.0,Agent_04
TKT_10264,2024-10-11,High,Technical Issue,4.6,3.4,Agent_04
TKT_10265,2024-12-16,Medium,Feature Request,25.1,4.1,Agent_08
TKT_10266,2024-11-03,Low,Billing Question,63.1,3.7,Agent_06
TKT_10267,2024-11-23,High,Account Access,2.7,4.3,Agent_07
TKT_10268,2024-12-13,High,Billing Question,2.5,4.2,Agent_01
TKT_10269,2024-12-20,High,Billing Question,1.1,4.5,Agent_08
TKT_10270,2024-10-22,Medium,Technical Issue,30.1,3.0,Agent_07
TKT_10271,2024-11-17,Low,Billing Question,17.3,4.2,Agent_02
TKT_10272,2024-11-28,High,Feature Request,4.6,2.9,Agent_04
TKT_10273,2024-11-04,Medium,Feature Request,27.7,2.9,Agent_03
TKT_10274,2024-11-06,Medium,Billing Question,13.5,4.1,Agent_03
TKT_10275,2024-11-07,High,Account Access,3.2,3.8,Agent_08
TKT_10276,2024-12-27,High,Feature Request,3.3,4.4,Agent_01
TKT_10277,2024-12-28,Low,Feature Request,145.5,3.2,Agent_04
TKT_10278,2024-12-16,Low,Technical Issue,63.7,4.4,Agent_01
TKT_10279,2024-11-30,Low,Account Access,31.4,4.6,Agent_01
TKT_10280,2024-11-18,Low,Feature Request,55.1,4.7,Agent_06
TKT_10281,2024-10-06,High,Bug Report,2.8,4.2,Agent_05
TKT_10282,2024-11-13,High,Feature Request,1.9,3.7,Agent_02
TKT_10283,2024-10-19,High,Account Access,1.0,4.2,Agent_06
TKT_10284,2024-11-05,Medium,Account Access,31.3,3.3,Agent_05
TKT_10285,2024-11-03,Medium,Bug Report,35.0,3.1,Agent_07
TKT_10286,2024-10-20,Low,Bug Report,55.2,4.2,Agent_08
TKT_10287,2024-10-30,High,Billing Question,1.2,4.6,Agent_08
TKT_10288,2024-11-25,High,Feature Request,2.8,4.1,Agent_08
TKT_10289,2024-10-15,High,Billing Question,0.8,4.6,Agent_06
TKT_10290,2024-10-24,Low,Billing Question,69.2,4.4,Agent_05
TKT_10291,2024-10-01,Low,Bug Report,117.8,2.8,Agent_03
TKT_10292,2024-12-03,Medium,Technical Issue,24.4,4.4,Agent_01
TKT_10293,2024-10-16,Medium,Feature Request,26.4,3.5,Agent_02
TKT_10294,2024-10-11,Low,Feature Request,97.6,4.2,Agent_08
TKT_10295,2024-11-12,Low,Technical Issue,99.8,4.1,Agent_08
TKT_10296,2024-12-12,High,Billing Question,2.3,4.0,Agent_01
TKT_10297,2024-10-08,Low,Technical Issue,58.3,3.9,Agent_07
TKT_10298,2024-10-31,High,Feature Request,4.8,3.1,Agent_01
TKT_10299,2024-11-21,Low,Account Access,45.7,4.3,Agent_03
TKT_10300,2024-11-09,High,Bug Report,3.9,3.3,Agent_06
TKT_10301,2024-12-05,Medium,Billing Question,18.5,3.9,Agent_08
TKT_10302,2024-12-12,Medium,Bug Report,26.8,3.9,Agent_02
TKT_10303,2024-12-18,Medium,Billing Question,6.0,4.6,Agent_07
TKT_10304,2024-11-29,Low,Billing Question,89.3,3.9,Agent_03
TKT_10305,2024-12-22,High,Bug Report,4.3,3.2,Agent_05
TKT_10306,2024-12-01,High,Account Access,3.1,3.7,Agent_03
TKT_10307,2024-11-01,Medium,Bug Report,37.7,3.5,Agent_05
TKT_10308,2024-10-06,High,Bug Report,2.8,4.0,Agent_07
TKT_10309,2024-12-12,Medium,Account Access,23.6,4.4,Agent_05
TKT_10310,2024-10-03,Low,Technical Issue,79.3,3.7,Agent_08
TKT_10311,2024-11-20,High,Technical Issue,4.9,3.1,Agent_07
TKT_10312,2024-12-15,Low,Feature Request,117.4,3.0,Agent_08
TKT_10313,2024-10-24,High,Billing Question,1.6,4.3,Agent_02
TKT_10314,2024-12-26,Medium,Technical Issue,14.2,4.4,Agent_01
TKT_10315,2024-10-22,Medium,Feature Request,31.7,3.5,Agent_07
TKT_10316,2024-12-17,Medium,Feature Request,28.6,3.4,Agent_06
TKT_10317,2024-12-26,Medium,Feature Request,11.0,3.9,Agent_02
TKT_10318,2024-10-15,Low,Technical Issue,199.1,2.9,Agent_04
TKT_10319,2024-12-23,Medium,Billing Question,7.8,4.6,Agent_04
TKT_10320,2024-10-19,Medium,Feature Request,15.1,4.4,Agent_01
TKT_10321,2024-12-29,Medium,Feature Request,11.8,4.4,Agent_08
TKT_10322,2024-11-01,Medium,Billing Question,5.5,4.3,Agent_07
TKT_10323,2024-12-20,Medium,Feature Request,32.6,3.2,Agent_08
TKT_10324,2024-12-10,High,Account Access,1.9,3.9,Agent_08
TKT_10325,2024-12-18,High,Feature Request,3.5,3.3,Agent_01
TKT_10326,2024-11-10,High,Bug Report,6.5,3.4,Agent_05
TKT_10327,2024-11-30,Medium,Technical Issue,26.8,3.9,Agent_06
TKT_10328,2024-10-21,Medium,Billing Question,11.0,4.4,Agent_06
TKT_10329,2024-12-15,Low,Account Access,40.0,4.3,Agent_08
TKT_10330,2024-11-19,Low,Feature Request,125.8,3.3,Agent_06
TKT_10331,2024-11-06,Low,Technical Issue,72.2,3.7,Agent_08
TKT_10332,2024-12-17,High,Feature Request,4.3,3.3,Agent_07
TKT_10333,2024-10-31,Low,Billing Question,83.6,4.1,Agent_01
TKT_10334,2024-11-03,Low,Account Access,50.6,4.6,Agent_03
TKT_10335,2024-12-04,High,Technical Issue,3.4,4.0,Agent_06
TKT_10336,2024-10-16,High,Bug Report,2.6,3.8,Agent_08
TKT_10337,2024-11-15,Low,Technical Issue,225.9,3.7,Agent_05
TKT_10338,2024-12-05,Low,Bug Report,102.3,4.0,Agent_02
TKT_10339,2024-11-26,High,Feature Request,3.2,3.8,Agent_02
TKT_10340,2024-10-06,High,Bug Report,4.8,3.3,Agent_03
TKT_10341,2024-11-16,Low,Billing Question,79.7,4.4,Agent_05
TKT_10342,2024-12-03,High,Technical Issue,3.0,3.7,Agent_06
TKT_10343,2024-10-26,Medium,Feature Request,19.0,4.3,Agent_01
TKT_10344,2024-11-13,Low,Account Access,42.5,4.3,Agent_03
TKT_10345,2024-11-23,Low,Account Access,47.4,4.5,Agent_04
TKT_10346,2024-11-23,High,Billing Question,1.3,4.5,Agent_07
TKT_10347,2024-11-28,Low,Bug Report,153.3,3.1,Agent_06
TKT_10348,2024-10-02,High,Bug Report,2.2,3.6,Agent_02
TKT_10349,2024-10-22,High,Feature Request,3.7,3.4,Agent_07
TKT_10350,2024-12-22,Low,Billing Question,82.3,4.4,Agent_01
TKT_10351,2024-12-24,Medium,Bug Report,21.5,4.2,Agent_07
TKT_10352,2024-12-10,Low,Account Access,91.9,3.6,Agent_06
TKT_10353,2024-11-05,Low,Bug Report,159.6,3.0,Agent_03
TKT_10354,2024-10-27,Low,Bug Report,136.4,3.4,Agent_08
TKT_10355,2024-10-26,High,Account Access,2.4,4.1,Agent_01
TKT_10356,2024-10-17,Low,Bug Report,94.6,4.3,Agent_05
TKT_10357,2024-11-09,Medium,Bug Report,15.0,4.1,Agent_03
TKT_10358,2024-10-31,Low,Account Access,92.5,3.8,Agent_07
TKT_10359,2024-10-08,Medium,Account Access,9.0,4.6,Agent_06
TKT_10360,2024-10-16,Medium,Feature Request,25.3,4.4,Agent_01
TKT_10361,2024-12-14,Low,Bug Report,105.5,3.8,Agent_04
TKT_10362,2024-12-13,Low,Billing Question,45.7,4.4,Agent_07
TKT_10363,2024-10-25,Medium,Account Access,7.7,4.2,Agent_02
TKT_10364,2024-11-22,High,Technical Issue,3.8,3.1,Agent_01
TKT_10365,2024-11-17,Medium,Bug Report,34.4,3.3,Agent_07
TKT_10366,2024-12-21,Medium,Feature Request,32.5,3.1,Agent_08
TKT_10367,2024-10-21,Medium,Billing Question,7.5,4.5,Agent_08
TKT_10368,2024-12-07,Low,Technical Issue,134.5,2.8,Agent_04
TKT_10369,2024-11-17,Low,Technical Issue,60.5,4.0,Agent_07
TKT_10370,2024-11-07,Low,Technical Issue,82.4,3.7,Agent_03
TKT_10371,2024-11-17,Medium,Account Access,8.0,4.2,Agent_08
TKT_10372,2024-12-15,High,Feature Request,5.9,3.3,Agent_05
TKT_10373,2024-12-02,Medium,Bug Report,29.4,2.9,Agent_02
TKT_10374,2024-12-13,Low,Account Access,99.7,4.1,Agent_08
TKT_10375,2024-11-30,High,Bug Report,4.2,3.0,Agent_03
